LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/4/2000;"9,7";"5,2";"14,2";"4,3";"69";"9";"4";"15";"0";"0";"0";"2";"pioggia "
Telve;2/4/2000;"10,2";"2,9";"15";"2";"57";"11";"10";"24";"0";"0";"0";"0";""
Telve;3/4/2000;"7,7";"6,6";"9,3";"6,2";"90";"6";"8";"15";"0";"0";"0";"1,3";"pioggia "
Telve;4/4/2000;"10,2";"5,9";"15,1";"5,6";"73";"11";"4";"11";"0";"0";"0";"3,1";"pioggia "
Telve;5/4/2000;"11,8";"4,5";"20,7";"4,8";"62";"11";"12";"26";"42";"0";"0";"0";"pioggia "
Telve;6/4/2000;"12,9";"5,5";"18";"4,3";"56";"11";"19";"39";"47";"0";"0";"5,1";""
Telve;7/4/2000;"11,7";"2";"18,2";"-8,6";"23";"10";"17";"29";"50";"0";"0";"0";""
Telve;8/4/2000;"11,2";"2";"18,8";"-1,4";"41";"10";"7";"18";"0";"0";"0";"0";""
Telve;9/4/2000;"11,5";"7,4";"16,4";"1,9";"52";"11";"13";"21";"0";"0";"0";"0";""
Telve;10/4/2000;"10,7";"6,4";"13,7";"3,7";"62";"11";"8";"15";"0";"0";"0";"0";""
Telve;11/4/2000;"11,2";"7,3";"14,1";"5,2";"66";"10";"8";"17";"0";"0";"0";"0";""
Telve;12/4/2000;"11,6";"8,5";"16";"6,4";"70";"11";"17";"34";"50";"0";"0";"0,8";"pioggia "
Telve;13/4/2000;"12,4";"7";"17,5";"6,6";"68";"11";"16";"31";"0";"0";"0";"0,8";"pioggia "
Telve;14/4/2000;"13,8";"9";"18,7";"6,8";"63";"11";"15";"28";"0";"0";"0";"0";"pioggia "
Telve;15/4/2000;"11,7";"8,4";"14";"8,9";"83";"9";"5";"13";"0";"0";"0";"0,5";"pioggia "
Telve;16/4/2000;"10,8";"4,6";"14,2";"5,6";"70";"11";"1";"8";"0";"0";"0";"1";""
Telve;17/4/2000;"10,4";"7,6";"13,1";"8,5";"88";"10";"2";"8";"0";"0";"0";"3,1";"pioggia "
Telve;18/4/2000;"12,1";"6,9";"15,4";"7,3";"72";"11";"0";"2";"0";"0";"0";"1,8";"pioggia "
Telve;19/4/2000;"13,2";"9";"16,3";"7,6";"69";"11";"6";"22";"0";"0";"0";"0";"pioggia "
Telve;20/4/2000;"15,2";"6,6";"23,9";"7,2";"59";"11";"3";"8";"0";"0";"0";"0";""
Telve;21/4/2000;"18,1";"7,8";"26,4";"7,5";"50";"10";"1";"8";"0";"0";"0";"0";""
Telve;22/4/2000;"17,8";"8,4";"25,7";"8,2";"53";"11";"11";"24";"0";"0";"0";"0";""
Telve;23/4/2000;"18,9";"8";"24,6";"9,6";"55";"10";"10";"21";"0";"0";"0";"0";""
Telve;24/4/2000;"12,3";"9,8";"14";"10,3";"88";"9";"4";"9";"0";"0";"0";"8,1";"pioggia "
Telve;25/4/2000;"15,8";"5,9";"23";"7,3";"57";"11";"10";"21";"0";"0";"0";"0";""
Telve;26/4/2000;"17,6";"10";"24,2";"9,9";"61";"11";"10";"28";"0";"0";"0";"0";""
Telve;27/4/2000;"16,1";"11,4";"19,6";"12,2";"78";"11";"2";"9";"0";"0";"0";"0";""
Telve;28/4/2000;"14,5";"9";"19,4";"12,2";"86";"10";"5";"18";"0";"0";"0";"0,8";"pioggia "
Telve;29/4/2000;"14,8";"12";"17,3";"12,4";"86";"10";"2";"8";"0";"0";"0";"2";"pioggia "
Telve;30/4/2000;"15,6";"9,9";"20,8";"10,7";"73";"11";"2";"9";"0";"0";"0";"0";""
