LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/6/2004;"14,7";"12,4";"17,1";"12";"84";"11";"4";"8";"0";"0";"0";"4,6";"pioggia "
Telve;2/6/2004;"19,6";"13";"26";"8,6";"49";"11";"9";"17";"0";"0";"0";"0,5";""
Telve;3/6/2004;"19,7";"12,6";"25,9";"6,3";"42";"12";"12";"34";"50";"0";"0";"0";""
Telve;4/6/2004;"22,3";"11,1";"27,6";"5,9";"34";"11";"11";"24";"35";"0";"0";"0";""
Telve;5/6/2004;"20,9";"15";"26,8";"10,3";"51";"11";"7";"17";"28";"0";"0";"0";"pioggia "
Telve;6/6/2004;"19,5";"10,7";"27,5";"7";"44";"15";"6";"18";"0";"1014";"986";"0";""
Telve;7/6/2004;"21,9";"13,2";"29";"9,6";"45";"11";"10";"26";"0";"0";"0";"0";""
Telve;8/6/2004;"23,6";"13,5";"32";"11,7";"47";"11";"9";"22";"42";"0";"0";"0";""
Telve;9/6/2004;"24,8";"14,8";"34,4";"11,2";"42";"11";"7";"17";"0";"0";"0";"0";""
Telve;10/6/2004;"26,4";"16,7";"35";"11,8";"40";"11";"9";"22";"0";"0";"0";"0";""
Telve;11/6/2004;"26,4";"17,9";"33,1";"12,3";"42";"11";"11";"24";"39";"0";"0";"0";"pioggia temporale "
Telve;12/6/2004;"21,7";"17,2";"29,2";"14,6";"64";"11";"9";"41";"68";"0";"0";"20,1";"pioggia temporale "
Telve;13/6/2004;"20,4";"15,6";"25,4";"4,3";"35";"11";"17";"34";"41";"0";"0";"0";""
Telve;14/6/2004;"21,4";"13,4";"27,8";"7,2";"40";"11";"8";"15";"0";"0";"0";"0";""
Telve;15/6/2004;"21,8";"12,4";"29,5";"9,9";"47";"11";"9";"21";"0";"0";"0";"0";""
Telve;16/6/2004;"23,3";"16";"28,7";"12,4";"50";"11";"5";"17";"0";"0";"0";"0";""
Telve;17/6/2004;"23,1";"13";"29,7";"9";"41";"12";"14";"24";"42";"0";"0";"0";""
Telve;18/6/2004;"23,8";"14";"30,6";"10,2";"42";"11";"9";"22";"39";"0";"0";"0";""
Telve;19/6/2004;"20";"16,5";"25";"15,5";"75";"0";"5";"0";"56";"0";"1004";"5,2";"pioggia "
Telve;20/6/2004;"14,4";"10,7";"16,5";"12,5";"88";"0";"3";"0";"34";"0";"1004";"27,8";"pioggia "
Telve;21/6/2004;"21,6";"18,3";"24,1";"11,2";"52";"11";"13";"22";"0";"0";"0";"0";""
Telve;22/6/2004;"20,2";"14,3";"25,1";"13,1";"64";"11";"7";"15";"0";"0";"0";"0";""
Telve;23/6/2004;"21,4";"15";"26,4";"14,5";"65";"11";"9";"21";"0";"0";"0";"0";""
Telve;24/6/2004;"23,8";"16,1";"28,9";"15,1";"58";"11";"12";"22";"41";"0";"0";"0";""
Telve;25/6/2004;"22,1";"19";"26,9";"14,8";"63";"11";"6";"11";"28";"0";"0";"3,1";"pioggia "
Telve;26/6/2004;"21,9";"13,9";"28";"12,8";"56";"11";"11";"21";"0";"0";"0";"0";""
Telve;27/6/2004;"24,5";"16,1";"31,6";"16,1";"60";"11";"8";"18";"0";"0";"0";"0";""
Telve;28/6/2004;"26,8";"21";"31";"17,7";"57";"11";"9";"22";"0";"0";"0";"0";"pioggia "
Telve;29/6/2004;"24,5";"17,6";"30,5";"16,8";"62";"11";"9";"24";"41";"0";"0";"4,1";""
Telve;30/6/2004;"23,2";"14,6";"30,1";"12,6";"51";"11";"9";"21";"0";"0";"0";"0";""
