LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/1/2006;"-0,9";"-2,3";"0,5";"-4,3";"78";"7";"2";"8";"0";"0";"0";"0";"neve "
Telve;2/1/2006;"3,6";"-1";"9,6";"-3,5";"60";"15";"7";"18";"0";"1011";"982";"0";""
Telve;3/1/2006;"5,1";"2,2";"9,9";"-6";"44";"20";"8";"21";"0";"1020";"991";"0";""
Telve;4/1/2006;"0,3";"-4";"8,7";"-7,3";"57";"10";"3";"8";"0";"0";"0";"0";""
Telve;5/1/2006;"-0,3";"-5,4";"3";"-6,2";"64";"12";"2";"8";"0";"0";"0";"0";""
Telve;6/1/2006;"-0,6";"-6,2";"7,1";"-5,6";"69";"11";"1";"4";"0";"0";"0";"0";""
Telve;7/1/2006;"-0,2";"-5";"6,7";"-5";"70";"11";"2";"5";"0";"1028";"998";"0";""
Telve;8/1/2006;"0,3";"-4";"6,2";"-5,3";"66";"11";"3";"8";"0";"0";"0";"0";""
Telve;9/1/2006;"-2,9";"-7,7";"4,8";"-7,6";"70";"10";"2";"4";"0";"0";"0";"0";""
Telve;10/1/2006;"-2,2";"-8,2";"5";"-8,2";"63";"11";"2";"4";"0";"0";"0";"0";""
Telve;11/1/2006;"-2,4";"-7,7";"5,5";"-8,7";"62";"10";"1";"4";"0";"0";"0";"0";""
Telve;12/1/2006;"-2,4";"-7,8";"4,4";"-8,8";"61";"11";"2";"4";"0";"0";"0";"0";""
Telve;13/1/2006;"-3,1";"-9,1";"6,6";"-9,4";"62";"10";"2";"5";"0";"0";"0";"0";""
Telve;14/1/2006;"-3,5";"-9,3";"6,2";"-10,2";"60";"10";"2";"4";"0";"0";"0";"0";""
Telve;15/1/2006;"-4,4";"-10,4";"2,4";"-9,7";"66";"10";"3";"9";"0";"0";"0";"0";""
Telve;16/1/2006;"-5,2";"-10,5";"1";"-10,7";"65";"10";"2";"8";"0";"0";"0";"0";""
Telve;17/1/2006;"-3";"-8,1";"-0,4";"-8,4";"66";"12";"3";"5";"0";"1027";"996";"0";""
Telve;18/1/2006;"1,1";"-2";"5";"-3,6";"71";"10";"3";"8";"0";"0";"0";"0";""
Telve;19/1/2006;"4,4";"-2,3";"11,1";"-5,9";"47";"10";"7";"21";"0";"0";"0";"0";""
Telve;20/1/2006;"0,5";"-4";"7,1";"-5,9";"62";"10";"2";"5";"0";"0";"0";"0";""
Telve;21/1/2006;"-0,7";"-5,8";"6,5";"-5,1";"72";"11";"3";"9";"0";"1025";"994";"0";""
Telve;22/1/2006;"5,7";"-5,4";"11,3";"-7,8";"37";"11";"14";"28";"48";"0";"0";"0";""
Telve;23/1/2006;"5,7";"-1";"9,8";"-13,4";"24";"10";"15";"26";"42";"0";"0";"0";""
Telve;24/1/2006;"-1,4";"-5,4";"4,4";"-10,7";"49";"10";"4";"8";"0";"0";"0";"0";""
Telve;25/1/2006;"-3,1";"-8";"1";"-11,1";"54";"11";"2";"5";"0";"0";"0";"0";""
Telve;26/1/2006;"-2,4";"-6,7";"1,9";"-6,5";"73";"8";"3";"13";"0";"1020";"989";"0";"neve "
Telve;27/1/2006;"-1,4";"-2,7";"0,2";"-2,3";"94";"1";"1";"4";"0";"0";"0";"3,1";"pioggia neve nebbia "
Telve;28/1/2006;"1,1";"-1,7";"4";"-0,4";"90";"7";"2";"9";"0";"0";"0";"0";"neve "
Telve;29/1/2006;"2,4";"-1";"6";"0,5";"87";"8";"2";"8";"0";"0";"0";"0";""
Telve;30/1/2006;"3,2";"-2,3";"9,1";"0,1";"80";"12";"2";"5";"0";"1028";"998";"0";""
Telve;31/1/2006;"3,2";"-1,5";"10,7";"-1,1";"73";"10";"2";"5";"0";"0";"0";"0";""
