LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/3/2006;"3,5";"-2,3";"7,5";"-5,9";"50";"11";"8";"24";"0";"0";"0";"0";""
Telve;2/3/2006;"2,7";"-2";"8,6";"-9,8";"39";"11";"4";"11";"0";"0";"0";"0";""
Telve;3/3/2006;"3,7";"-2,6";"10,5";"-6,2";"48";"11";"4";"9";"0";"0";"0";"0";""
Telve;4/3/2006;"6";"2,2";"9,8";"0,5";"68";"10";"6";"11";"0";"0";"0";"0";""
Telve;5/3/2006;"6,4";"4";"9,4";"-2,2";"54";"8";"18";"35";"57";"0";"0";"13";"pioggia "
Telve;6/3/2006;"4,7";"-1,2";"9";"-11,3";"30";"11";"14";"24";"37";"0";"0";"0";""
Telve;7/3/2006;"3,8";"-3,6";"9";"-11,8";"31";"11";"11";"26";"35";"0";"0";"0";""
Telve;8/3/2006;"2,1";"-4";"7,8";"-8,7";"45";"11";"5";"13";"0";"0";"0";"0";""
Telve;9/3/2006;"6,2";"-0,2";"12,6";"-1,5";"58";"11";"5";"13";"0";"0";"0";"0";""
Telve;10/3/2006;"6,8";"1,9";"12,6";"1,2";"67";"9";"4";"9";"0";"0";"0";"0,5";"pioggia "
Telve;11/3/2006;"7,1";"-1";"14,2";"-6,5";"37";"11";"7";"21";"0";"0";"0";"0";""
Telve;12/3/2006;"2,5";"-0,5";"6";"-16,7";"23";"11";"29";"42";"67";"0";"0";"0";""
Telve;13/3/2006;"4,9";"-3,6";"12,3";"-12,9";"26";"10";"8";"15";"0";"0";"0";"0";""
Telve;14/3/2006;"7,3";"-2";"15,7";"-7,4";"34";"11";"7";"17";"0";"0";"0";"0";""
Telve;15/3/2006;"6,2";"-2,7";"14";"-2,6";"53";"10";"8";"24";"0";"0";"0";"0";""
Telve;16/3/2006;"7,7";"4";"12,5";"1,1";"63";"6";"9";"21";"0";"0";"0";"0";"pioggia "
Telve;17/3/2006;"8,9";"3,1";"15";"-0,3";"52";"7";"9";"22";"0";"0";"0";"0";""
Telve;18/3/2006;"7,7";"2";"11,5";"-0,4";"56";"6";"11";"22";"0";"0";"0";"0";""
Telve;19/3/2006;"6,6";"1,5";"13";"-0,9";"59";"9";"4";"15";"0";"0";"0";"0";""
Telve;20/3/2006;"8,4";"-0,8";"16,2";"-0,6";"53";"9";"10";"28";"0";"0";"0";"0";""
Telve;21/3/2006;"8,3";"4,2";"13";"3";"69";"5";"7";"18";"0";"0";"0";"1";"pioggia "
Telve;22/3/2006;"11,9";"5,8";"18,3";"4,9";"62";"8";"5";"13";"0";"0";"0";"0";"nebbia "
Telve;23/3/2006;"12,2";"2,8";"20,3";"3,3";"54";"11";"8";"22";"0";"0";"0";"0";""
Telve;24/3/2006;"10,6";"9";"13,2";"4,6";"66";"9";"8";"18";"0";"0";"0";"0";"pioggia "
Telve;25/3/2006;"12,6";"5,6";"18,8";"4,5";"58";"10";"6";"15";"0";"0";"0";"0";""
Telve;26/3/2006;"13,9";"7,5";"20,5";"5,8";"58";"10";"8";"21";"0";"0";"0";"0";""
Telve;27/3/2006;"12,3";"9,9";"14,6";"7,8";"74";"4";"3";"9";"0";"0";"0";"0";""
Telve;28/3/2006;"10,7";"8,9";"12,6";"9";"89";"3";"5";"29";"48";"0";"0";"3,1";"pioggia "
Telve;29/3/2006;"11,8";"4";"18,8";"2,7";"54";"11";"5";"11";"0";"0";"0";"6,1";""
Telve;30/3/2006;"10,2";"2,7";"17,3";"1,4";"54";"11";"3";"8";"0";"0";"0";"0";""
Telve;31/3/2006;"14,9";"7,8";"21";"6,8";"58";"11";"5";"11";"0";"0";"0";"0";"pioggia "
