LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/11/2006;"11,9";"3,8";"20,2";"11,9";"100";"11";"11";"29";"50";"0";"0";"0";""
Telve;2/11/2006;"7,7";"2";"10,8";"7,6";"99";"16";"16";"28";"54";"1021";"992";"0";""
Telve;3/11/2006;"5,7";"-4,7";"13,1";"-5,3";"45";"11";"9";"18";"44";"0";"0";"0";""
Telve;4/11/2006;"3,1";"-3";"12,5";"-5,9";"52";"10";"3";"8";"0";"0";"0";"0";""
Telve;5/11/2006;"3,4";"-4,9";"12,9";"-2,8";"64";"10";"3";"8";"0";"0";"0";"0";""
Telve;6/11/2006;"4,7";"-2,6";"13,3";"0,2";"73";"11";"3";"11";"0";"0";"0";"0";""
Telve;7/11/2006;"6,3";"-2,2";"18";"-1,6";"57";"10";"2";"8";"0";"0";"0";"0";""
Telve;8/11/2006;"5,5";"-3,2";"14,8";"-0,6";"65";"10";"3";"8";"0";"0";"0";"0";""
Telve;9/11/2006;"5,2";"-1,4";"13,5";"1";"74";"11";"3";"8";"0";"0";"0";"0";""
Telve;10/11/2006;"8,7";"-1,8";"19,2";"-5,5";"36";"10";"7";"21";"50";"0";"0";"0";""
Telve;11/11/2006;"5,3";"0,8";"8,3";"-3,2";"54";"11";"3";"9";"0";"0";"0";"0";""
Telve;12/11/2006;"8,3";"-2,4";"17";"-2,6";"46";"11";"7";"21";"0";"0";"0";"0";""
Telve;13/11/2006;"7,1";"0,2";"14,7";"-3,8";"46";"10";"4";"8";"0";"0";"0";"0";""
Telve;14/11/2006;"5,3";"-1,5";"13,8";"-0,2";"68";"11";"3";"8";"0";"0";"0";"0";""
Telve;15/11/2006;"7";"-0,4";"14,8";"2,7";"74";"10";"2";"8";"0";"0";"0";"0";""
Telve;16/11/2006;"8,1";"1,7";"13,6";"4,7";"79";"10";"3";"8";"0";"0";"0";"0";""
Telve;17/11/2006;"10,2";"7";"15,2";"6,6";"78";"7";"2";"4";"0";"0";"0";"0";"pioggia "
Telve;18/11/2006;"10,1";"6,4";"12,6";"9,1";"93";"2";"3";"5";"0";"0";"0";"3,1";"pioggia nebbia "
Telve;19/11/2006;"10,9";"9";"15,3";"9,7";"92";"6";"3";"9";"0";"0";"0";"3,1";"pioggia nebbia "
Telve;20/11/2006;"8,7";"3,6";"15,3";"7";"89";"9";"3";"8";"0";"0";"0";"3,6";"pioggia "
Telve;21/11/2006;"7,7";"3,2";"12,4";"5,1";"84";"11";"3";"9";"0";"0";"0";"0";"pioggia "
Telve;22/11/2006;"8,9";"4";"16";"1,4";"59";"10";"10";"26";"42";"0";"0";"5,1";""
Telve;23/11/2006;"3,8";"-1";"10";"-1,7";"67";"11";"2";"8";"0";"0";"0";"0";""
Telve;24/11/2006;"4,8";"-1,2";"8,3";"0,7";"75";"11";"3";"9";"0";"0";"0";"0";""
Telve;25/11/2006;"8,9";"6,6";"11";"3,2";"67";"11";"4";"8";"0";"0";"0";"0";""
Telve;26/11/2006;"8,8";"3,9";"17";"5,3";"79";"11";"3";"9";"0";"0";"0";"0";""
Telve;27/11/2006;"5,6";"0,2";"13,7";"3,1";"84";"10";"2";"4";"0";"0";"0";"0";""
Telve;28/11/2006;"3,2";"-1,3";"9";"1,4";"88";"10";"2";"5";"0";"0";"0";"0";""
Telve;29/11/2006;"2,7";"-3,3";"11";"-0,3";"81";"10";"2";"4";"0";"0";"0";"0";""
Telve;30/11/2006;"3,7";"-2,5";"12,7";"-0,2";"76";"10";"3";"8";"0";"0";"0";"0";""
