LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/5/2007;"16";"6,8";"24,4";"9,6";"66";"11";"9";"26";"0";"1012";"0";"0";"pioggia "
Telve;2/5/2007;"15,1";"11,8";"20,3";"10,5";"74";"11";"9";"26";"44";"1013";"0";"1";"pioggia "
Telve;3/5/2007;"14,6";"7,3";"21,1";"8,8";"68";"12";"5";"18";"0";"1014";"0";"0";""
Telve;4/5/2007;"12,9";"9,9";"16,3";"10,2";"84";"9";"4";"15";"0";"1009";"0";"7,1";"pioggia "
Telve;5/5/2007;"14,7";"10,4";"21,7";"10,6";"76";"10";"4";"13";"0";"1007";"0";"2";"pioggia "
Telve;6/5/2007;"17,6";"10,4";"25";"7,6";"52";"11";"11";"29";"48";"1011";"0";"0";""
Telve;7/5/2007;"18,9";"9";"27,1";"6,3";"44";"11";"5";"13";"0";"1015";"0";"0";""
Telve;8/5/2007;"20,9";"10,8";"29,1";"8,8";"46";"11";"7";"17";"0";"1013";"0";"0";""
Telve;9/5/2007;"21,9";"12,3";"29,9";"5,6";"35";"13";"8";"17";"0";"1013";"0";"0";""
Telve;10/5/2007;"22,5";"12,1";"30,4";"5,1";"32";"13";"9";"22";"0";"1014";"987";"0";""
Telve;11/5/2007;"21,3";"12,4";"28,7";"10,7";"51";"11";"10";"28";"48";"1011";"0";"0";""
Telve;12/5/2007;"21,3";"13,8";"28,6";"12,7";"58";"11";"8";"18";"0";"1011";"983";"0";"pioggia "
Telve;13/5/2007;"23,3";"16,6";"29,1";"11,6";"48";"11";"12";"26";"0";"1015";"0";"0";""
Telve;14/5/2007;"21,2";"14";"29,3";"11,3";"53";"11";"10";"26";"42";"1012";"0";"0,5";"pioggia temporale "
Telve;15/5/2007;"13,7";"9";"18";"10,9";"83";"9";"7";"28";"0";"1012";"0";"5,1";"pioggia temporale "
Telve;16/5/2007;"16,6";"6,1";"22";"4,1";"43";"12";"9";"24";"0";"1013";"0";"0";""
Telve;17/5/2007;"15,9";"11";"19,5";"8,7";"62";"12";"7";"17";"0";"1009";"0";"0";""
Telve;18/5/2007;"21,2";"12,3";"26,1";"-1,4";"22";"11";"16";"26";"44";"1014";"0";"0";""
Telve;19/5/2007;"20,3";"9,6";"27,5";"5,9";"39";"11";"13";"28";"0";"1014";"0";"0";""
Telve;20/5/2007;"24,3";"11,2";"29,7";"8,5";"37";"10";"10";"22";"0";"1014";"0";"0";""
Telve;21/5/2007;"23,7";"14";"32";"11,3";"46";"11";"12";"26";"0";"1016";"0";"0";"pioggia temporale "
Telve;22/5/2007;"23,9";"18";"30";"14,4";"55";"11";"8";"22";"0";"1016";"0";"0";"pioggia "
Telve;23/5/2007;"24,7";"18";"30";"13,5";"50";"11";"9";"22";"42";"1016";"0";"0";"temporale "
Telve;24/5/2007;"25,1";"16";"31,3";"13,8";"50";"11";"7";"15";"0";"1015";"0";"0";"temporale "
Telve;25/5/2007;"23,9";"16,4";"30,8";"14,4";"55";"12";"7";"17";"0";"1013";"0";"0";"pioggia temporale "
Telve;26/5/2007;"25,1";"19";"30,9";"12,2";"45";"11";"11";"21";"0";"1006";"0";"0";"pioggia temporale "
Telve;27/5/2007;"18,4";"16";"23";"14,4";"78";"10";"6";"13";"0";"1003";"0";"0";"pioggia "
Telve;28/5/2007;"15,3";"13";"18,9";"12,4";"83";"11";"8";"15";"0";"994";"0";"7,1";"pioggia temporale "
Telve;29/5/2007;"13,1";"10";"16,1";"8,8";"75";"11";"6";"9";"0";"1003";"0";"5,1";"pioggia "
Telve;30/5/2007;"18,5";"8,7";"24";"4,2";"39";"15";"10";"17";"0";"1011";"0";"0";""
Telve;31/5/2007;"19,7";"14";"24";"8,8";"49";"11";"11";"22";"0";"1013";"0";"0";""
