LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/12/2008;"2";"0";"3";"1";"96";"6";"7";"19";"0";"1002";"0";"14";"pioggia neve "
Telve;2/12/2008;"2";"1";"4";"2";"98";"4";"4";"7";"0";"1011";"0";"15";"pioggia "
Telve;3/12/2008;"2";"-2";"6";"0";"89";"7";"5";"7";"0";"1010";"0";"16";"nebbia "
Telve;4/12/2008;"0";"-5";"4";"-4";"79";"13";"4";"7";"0";"1008";"0";"0";""
Telve;5/12/2008;"0";"-2";"1";"0";"96";"4";"3";"6";"0";"1003";"0";"1";"pioggia neve nebbia "
Telve;6/12/2008;"1";"-4";"6";"-1";"90";"9";"4";"9";"0";"1011";"0";"0";""
Telve;7/12/2008;"-1";"-6";"7";"-3";"86";"19";"4";"9";"0";"1023";"0";"0,5";""
Telve;8/12/2008;"-2";"-7";"7";"-5";"82";"15";"3";"4";"0";"1029";"0";"0";""
Telve;9/12/2008;"-3";"-9";"1";"-6";"83";"15";"3";"6";"0";"1024";"0";"0";""
Telve;10/12/2008;"-1";"-3";"1";"-1";"97";"1";"4";"6";"0";"1014";"0";"0";"neve nebbia "
Telve;11/12/2008;"1";"0";"2";"1";"98";"2";"4";"6";"0";"1007";"0";"5,1";"pioggia neve nebbia "
Telve;12/12/2008;"2";"1";"4";"2";"98";"9";"4";"9";"0";"1011";"0";"29";"pioggia "
Telve;13/12/2008;"2";"1";"3";"2";"97";"5";"3";"4";"0";"1012";"0";"8,1";"pioggia nebbia "
Telve;14/12/2008;"2";"1";"4";"2";"98";"4";"3";"6";"0";"1010";"0";"0";"pioggia nebbia "
Telve;15/12/2008;"3";"1";"6";"2";"95";"8";"3";"6";"0";"1016";"0";"0";"pioggia "
Telve;16/12/2008;"3";"2";"6";"-16";"96";"11";"3";"6";"0";"0";"0";"0,5";"pioggia nebbia "
Telve;17/12/2008;"3";"2";"6";"-16";"97";"9";"4";"9";"0";"0";"0";"4,1";"pioggia nebbia "
Telve;18/12/2008;"6";"-1";"12";"-17";"58";"19";"11";"24";"43";"0";"0";"0";""
Telve;19/12/2008;"4";"-1";"9";"-18";"71";"21";"5";"9";"0";"1019";"0";"0";""
Telve;20/12/2008;"4";"1";"10";"-18";"59";"23";"5";"13";"0";"1024";"0";"0";""
Telve;21/12/2008;"5";"1";"9";"-17";"73";"19";"7";"13";"0";"1025";"0";"0";""
Telve;22/12/2008;"3";"-2";"9";"-17";"78";"19";"4";"11";"0";"1029";"0";"0";""
Telve;23/12/2008;"6";"-3";"13";"-18";"61";"19";"6";"15";"0";"1028";"0";"0";""
Telve;24/12/2008;"4";"-1";"12";"-18";"72";"21";"4";"9";"0";"1027";"0";"0";""
Telve;25/12/2008;"2";"-1";"7";"-18";"81";"24";"5";"7";"0";"1023";"0";"0";""
Telve;26/12/2008;"-1";"-6";"5";"-18";"73";"21";"4";"22";"0";"1032";"0";"0";""
Telve;27/12/2008;"-4";"-8";"1";"-18";"77";"30";"4";"9";"0";"1031";"0";"0";""
Telve;28/12/2008;"-4";"-10";"-1";"-18";"75";"18";"5";"9";"0";"1029";"0";"0";""
Telve;29/12/2008;"-1";"-5";"4";"-18";"70";"19";"3";"6";"0";"1033";"0";"0";""
Telve;30/12/2008;"-2";"-7";"5";"-18";"73";"21";"3";"6";"0";"1036";"0";"0";""
Telve;31/12/2008;"-3";"-7";"3";"-18";"78";"22";"4";"7";"0";"1033";"0";"0";""
