LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/9/2016;"25";"19";"31";"17";"64";"10";"5";"9";"0";"1020";"0";"0";"pioggia "
Telve;2/9/2016;"26";"17";"32";"15";"54";"10";"7";"13";"0";"1019";"0";"0";""
Telve;3/9/2016;"27";"19";"32";"16";"54";"10";"6";"13";"0";"1018";"0";"0";""
Telve;4/9/2016;"26";"20";"31";"17";"58";"10";"7";"20";"0";"1015";"0";"0";"temporale "
Telve;5/9/2016;"25";"18";"30";"8";"37";"10";"15";"22";"44";"1015";"0";"0";""
Telve;6/9/2016;"24";"14";"29";"6";"36";"10";"16";"28";"54";"1018";"0";"0";""
Telve;7/9/2016;"23";"12";"29";"10";"47";"10";"6";"11";"0";"1020";"0";"0";""
Telve;8/9/2016;"25";"15";"31";"13";"49";"10";"6";"11";"0";"1015";"0";"0";""
Telve;9/9/2016;"26";"15";"32";"14";"50";"10";"7";"13";"0";"1015";"0";"0";""
Telve;10/9/2016;"24";"16";"29";"15";"59";"10";"7";"13";"0";"1016";"0";"0";""
Telve;11/9/2016;"23";"15";"28";"15";"64";"10";"5";"9";"0";"1018";"0";"0";"pioggia temporale "
Telve;12/9/2016;"24";"15";"31";"14";"58";"10";"6";"9";"0";"1019";"0";"0";""
Telve;13/9/2016;"24";"15";"30";"14";"58";"10";"6";"13";"0";"1016";"0";"0";""
Telve;14/9/2016;"25";"15";"31";"14";"53";"10";"7";"13";"0";"1014";"0";"0";""
Telve;15/9/2016;"20";"15";"23";"16";"78";"10";"4";"7";"0";"1016";"0";"0";"pioggia "
Telve;16/9/2016;"19";"14";"22";"15";"80";"9";"3";"9";"0";"1015";"0";"0";"pioggia nebbia "
Telve;17/9/2016;"18";"14";"21";"14";"78";"10";"5";"9";"0";"1012";"0";"0";"pioggia "
Telve;18/9/2016;"18";"15";"20";"13";"74";"10";"4";"7";"0";"1011";"0";"0";""
Telve;19/9/2016;"21";"13";"27";"9";"51";"10";"11";"20";"39";"1010";"0";"0";""
Telve;20/9/2016;"21";"13";"26";"9";"48";"10";"5";"7";"0";"1012";"0";"0";""
Telve;21/9/2016;"19";"14";"24";"13";"69";"10";"10";"17";"0";"1014";"0";"0";""
Telve;22/9/2016;"20";"15";"25";"11";"57";"10";"10";"17";"0";"1020";"0";"0";""
Telve;23/9/2016;"20";"13";"24";"11";"60";"10";"9";"19";"0";"1023";"0";"0";"pioggia "
Telve;24/9/2016;"21";"15";"26";"11";"56";"10";"7";"13";"0";"1024";"0";"0";""
Telve;25/9/2016;"20";"11";"26";"11";"58";"10";"8";"15";"0";"1019";"0";"0";""
Telve;26/9/2016;"20";"10";"26";"11";"60";"10";"9";"15";"33";"1020";"0";"0";""
Telve;27/9/2016;"21";"15";"26";"12";"56";"10";"7";"13";"0";"1023";"0";"0";""
Telve;28/9/2016;"20";"11";"26";"11";"59";"10";"6";"9";"0";"1028";"0";"0";""
Telve;29/9/2016;"20";"12";"26";"12";"63";"9";"8";"15";"0";"1025";"0";"0";""
Telve;30/9/2016;"21";"17";"25";"13";"61";"8";"10";"15";"0";"1018";"0";"0";""
