LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/8/2022;"28";"17";"36";"13";"43";"18";"6";"9";"0";"1015";"0";"0";""
Telve;2/8/2022;"27";"18";"32";"16";"56";"20";"7";"17";"0";"1017";"0";"0";""
Telve;3/8/2022;"28";"18";"34";"15";"47";"22";"8";"15";"0";"1016";"0";"0";""
Telve;4/8/2022;"30";"19";"36";"17";"47";"20";"8";"15";"0";"1015";"0";"0";""
Telve;5/8/2022;"29";"21";"36";"17";"54";"19";"10";"33";"0";"1014";"0";"0";"pioggia temporale "
Telve;6/8/2022;"25";"20";"31";"18";"69";"15";"7";"17";"0";"1018";"0";"0";"pioggia temporale "
Telve;7/8/2022;"23";"19";"25";"19";"75";"17";"5";"8";"0";"1017";"0";"0";"pioggia temporale "
Telve;8/8/2022;"27";"17";"34";"15";"51";"20";"6";"13";"0";"1017";"0";"0";""
Telve;9/8/2022;"28";"17";"34";"13";"43";"21";"7";"13";"0";"1018";"0";"0";""
Telve;10/8/2022;"27";"20";"33";"13";"44";"20";"8";"15";"0";"1019";"0";"0";""
Telve;11/8/2022;"28";"22";"32";"13";"41";"20";"10";"17";"0";"1017";"0";"0";"pioggia "
Telve;12/8/2022;"23";"16";"28";"15";"62";"21";"9";"17";"0";"1015";"0";"0";"pioggia temporale "
Telve;13/8/2022;"23";"12";"30";"11";"50";"19";"5";"11";"0";"1014";"0";"0";""
Telve;14/8/2022;"25";"14";"31";"13";"48";"21";"7";"15";"0";"1010";"0";"0";""
Telve;15/8/2022;"26";"17";"32";"14";"51";"19";"10";"33";"0";"1007";"0";"0";""
Telve;16/8/2022;"26";"17";"33";"14";"50";"24";"7";"15";"0";"1011";"0";"0";""
Telve;17/8/2022;"27";"18";"32";"16";"52";"19";"6";"11";"0";"1013";"0";"0";""
Telve;18/8/2022;"21";"19";"23";"18";"87";"17";"7";"15";"0";"1013";"0";"0";"pioggia temporale "
Telve;19/8/2022;"23";"18";"28";"17";"68";"21";"7";"17";"0";"1010";"0";"0";"pioggia temporale "
Telve;20/8/2022;"26";"18";"31";"11";"44";"22";"10";"21";"0";"1013";"0";"0";""
Telve;21/8/2022;"28";"15";"33";"8";"32";"19";"8";"21";"0";"1011";"0";"0";""
Telve;22/8/2022;"27";"15";"32";"6";"30";"20";"10";"21";"0";"1010";"0";"0";""
Telve;23/8/2022;"26";"14";"34";"7";"31";"23";"7";"15";"0";"1013";"0";"0";""
Telve;24/8/2022;"26";"13";"33";"10";"39";"16";"9";"17";"0";"1016";"0";"0";""
Telve;25/8/2022;"27";"17";"34";"14";"48";"21";"8";"17";"0";"1013";"0";"0";""
Telve;26/8/2022;"27";"18";"34";"15";"50";"22";"7";"17";"0";"1011";"0";"0";""
Telve;27/8/2022;"21";"18";"26";"17";"81";"21";"6";"11";"0";"1013";"0";"0";"pioggia "
Telve;28/8/2022;"24";"17";"32";"17";"67";"17";"5";"9";"0";"1014";"0";"0";""
Telve;29/8/2022;"27";"18";"32";"16";"54";"20";"8";"17";"0";"1016";"0";"0";""
Telve;30/8/2022;"26";"20";"31";"17";"59";"19";"9";"17";"0";"1017";"0";"0";"pioggia temporale "
Telve;31/8/2022;"23";"18";"28";"17";"72";"18";"5";"13";"0";"1015";"0";"0";""
