LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/10/2024;"15";"11";"17";"11";"80";"20";"0";"0";"0";"1015";"0";"0";""
Telve;2/10/2024;"16";"13";"20";"14";"89";"15";"0";"0";"0";"1006";"0";"0";"pioggia "
Telve;3/10/2024;"12";"11";"13";"11";"93";"14";"0";"0";"0";"1007";"0";"0";"pioggia "
Telve;4/10/2024;"11";"10";"12";"10";"94";"19";"0";"0";"0";"1010";"0";"0";"pioggia "
Telve;5/10/2024;"13";"10";"17";"9";"81";"21";"0";"0";"0";"1013";"0";"0";""
Telve;6/10/2024;"13";"8";"17";"8";"74";"17";"0";"0";"0";"1013";"0";"0";""
Telve;7/10/2024;"13";"7";"18";"10";"81";"18";"0";"0";"0";"1016";"0";"0";"pioggia "
Telve;8/10/2024;"14";"13";"15";"14";"99";"7";"0";"0";"0";"1008";"0";"0";"pioggia nebbia "
Telve;9/10/2024;"15";"10";"18";"13";"88";"21";"0";"0";"0";"1006";"0";"0";"pioggia nebbia "
Telve;10/10/2024;"14";"9";"16";"13";"95";"12";"0";"0";"0";"1002";"0";"0";"pioggia "
Telve;11/10/2024;"13";"6";"20";"9";"79";"20";"0";"0";"0";"1013";"0";"0";""
Telve;12/10/2024;"14";"8";"18";"10";"79";"20";"0";"0";"0";"1019";"0";"0";""
Telve;13/10/2024;"14";"9";"18";"11";"84";"21";"0";"0";"0";"1018";"0";"0";""
Telve;14/10/2024;"12";"6";"17";"10";"88";"21";"0";"0";"0";"1021";"0";"0";"nebbia "
Telve;15/10/2024;"14";"8";"18";"11";"82";"20";"0";"0";"0";"1021";"0";"0";""
Telve;16/10/2024;"12";"7";"15";"12";"96";"16";"0";"0";"0";"1023";"0";"0";"pioggia "
Telve;17/10/2024;"15";"13";"16";"14";"97";"9";"0";"0";"0";"1021";"0";"0";"pioggia "
Telve;18/10/2024;"15";"10";"16";"14";"99";"9";"0";"0";"0";"1017";"0";"0";"pioggia nebbia "
Telve;19/10/2024;"14";"9";"17";"13";"90";"20";"0";"0";"0";"1019";"0";"0";"pioggia "
Telve;20/10/2024;"17";"14";"21";"15";"91";"18";"0";"0";"0";"1026";"0";"0";"pioggia "
Telve;21/10/2024;"18";"13";"23";"15";"84";"19";"0";"0";"0";"1029";"0";"0";"nebbia "
Telve;22/10/2024;"16";"12";"22";"14";"87";"17";"0";"0";"0";"1028";"0";"0";"nebbia "
Telve;23/10/2024;"17";"13";"19";"15";"91";"16";"0";"0";"0";"1029";"0";"0";"pioggia "
Telve;24/10/2024;"16";"14";"19";"14";"89";"21";"0";"0";"0";"1028";"0";"0";"pioggia "
Telve;25/10/2024;"17";"15";"21";"15";"85";"17";"0";"0";"0";"1024";"0";"0";""
Telve;26/10/2024;"17";"15";"19";"15";"92";"16";"0";"0";"0";"1022";"0";"0";"pioggia "
Telve;27/10/2024;"16";"12";"22";"13";"84";"20";"0";"0";"0";"1025";"0";"0";""
Telve;28/10/2024;"15";"11";"20";"12";"83";"20";"0";"0";"0";"1026";"0";"0";""
Telve;29/10/2024;"14";"9";"20";"11";"83";"18";"0";"0";"0";"1026";"0";"0";""
Telve;30/10/2024;"13";"8";"20";"10";"84";"20";"0";"0";"0";"1026";"0";"0";""
Telve;31/10/2024;"12";"6";"19";"9";"83";"21";"0";"0";"0";"1027";"0";"0";""
