LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/3/2000;"6,7";"6";"8";"5,3";"91";"5";"8";"17";"0";"0";"0";"7,1";"pioggia "
Tenno;2/3/2000;"9,4";"3,2";"15,2";"-10,7";"23";"14";"15";"29";"44";"1013";"1004";"0";""
Tenno;3/3/2000;"7,2";"0,4";"14";"-0,6";"58";"15";"5";"15";"0";"1020";"1011";"0";""
Tenno;4/3/2000;"5,8";"-1,5";"13,1";"1,8";"75";"10";"3";"11";"0";"1015";"1006";"0";""
Tenno;5/3/2000;"4,7";"-5";"12";"-2,8";"58";"14";"5";"11";"0";"1026";"1017";"0";""
Tenno;6/3/2000;"6,6";"0,7";"12,5";"-2,3";"53";"12";"7";"11";"0";"0";"0";"0";""
Tenno;7/3/2000;"6,1";"-1";"13,4";"2,5";"78";"10";"7";"24";"0";"1029";"1021";"0";""
Tenno;8/3/2000;"7,8";"0,4";"15,2";"3,6";"75";"6";"5";"17";"0";"1027";"1018";"0";""
Tenno;9/3/2000;"8,1";"1";"16";"4,4";"77";"2";"4";"15";"0";"1022";"1013";"0";""
Tenno;10/3/2000;"6,9";"1";"14,9";"4";"82";"3";"4";"8";"0";"1019";"1011";"0";"nebbia "
Tenno;11/3/2000;"7,5";"4,4";"10,3";"5,7";"88";"1";"2";"9";"0";"1019";"1010";"0";"nebbia "
Tenno;12/3/2000;"10,2";"5";"15";"6,9";"80";"3";"3";"11";"0";"1020";"1012";"0";""
Tenno;13/3/2000;"10,5";"3";"17,2";"4,8";"68";"5";"4";"9";"0";"1024";"1016";"0";""
Tenno;14/3/2000;"7,6";"2";"14";"5,1";"84";"3";"4";"9";"0";"1023";"1014";"0";"nebbia "
Tenno;15/3/2000;"8,6";"6";"14";"6,1";"84";"3";"3";"21";"0";"1016";"1008";"0";"nebbia "
Tenno;16/3/2000;"8,5";"2,5";"16,5";"0,8";"58";"10";"10";"28";"47";"1019";"1011";"0";""
Tenno;17/3/2000;"7,6";"2";"13";"2,4";"70";"11";"7";"11";"0";"1016";"1008";"0";""
Tenno;18/3/2000;"7,8";"2,6";"13,1";"4,2";"78";"11";"12";"24";"31";"1018";"1009";"0";""
Tenno;19/3/2000;"8";"4";"13";"1,2";"62";"12";"14";"35";"0";"0";"0";"0";""
Tenno;20/3/2000;"7";"3";"11,3";"0,1";"61";"12";"7";"21";"0";"0";"0";"0";""
Tenno;21/3/2000;"7,3";"0,6";"14";"-0,6";"57";"11";"6";"13";"0";"1022";"1014";"0";""
Tenno;22/3/2000;"9,2";"1";"16,4";"1,2";"57";"10";"5";"11";"0";"1022";"1013";"0";""
Tenno;23/3/2000;"9,9";"1,5";"16,7";"1,5";"56";"9";"4";"11";"0";"0";"0";"0";""
Tenno;24/3/2000;"9,2";"5,8";"12,5";"6,9";"86";"6";"2";"4";"0";"0";"0";"0";"pioggia "
Tenno;25/3/2000;"11,3";"7,8";"15,2";"8,7";"84";"4";"3";"13";"0";"1018";"1010";"0";"pioggia "
Tenno;26/3/2000;"10,1";"7";"13";"8,3";"89";"7";"12";"22";"0";"0";"0";"1,5";"pioggia temporale "
Tenno;27/3/2000;"7,9";"6,9";"11,1";"6,7";"92";"7";"7";"15";"34";"1004";"996";"10,7";"pioggia temporale "
Tenno;28/3/2000;"7,2";"3,9";"10,3";"5,1";"86";"7";"16";"37";"59";"1009";"1001";"2";"pioggia nebbia "
Tenno;29/3/2000;"8,4";"5";"11,2";"6,2";"86";"9";"11";"37";"59";"1006";"998";"21,1";"pioggia temporale "
Tenno;30/3/2000;"7,6";"1,9";"13";"2,9";"72";"11";"10";"22";"0";"1010";"1001";"0";""
Tenno;31/3/2000;"8,8";"2,8";"14,5";"4,6";"75";"11";"6";"9";"0";"1010";"1002";"0";"pioggia "
