LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/1/2002;"1,2";"-3";"6";"-14,1";"31";"10";"9";"21";"0";"0";"0";"0";""
Tenno;2/1/2002;"-2";"-8";"6,1";"-5,8";"75";"10";"7";"24";"31";"0";"0";"0";""
Tenno;3/1/2002;"-1,6";"-6";"5,2";"-3,3";"88";"11";"9";"24";"0";"0";"0";"0";""
Tenno;4/1/2002;"-1,1";"-5";"3,3";"-2,7";"89";"10";"8";"15";"0";"0";"0";"0";""
Tenno;5/1/2002;"-2,6";"-7";"3,4";"-4,1";"89";"6";"5";"11";"0";"0";"0";"0";""
Tenno;6/1/2002;"-0,5";"-6";"8,3";"-2,8";"84";"4";"4";"8";"0";"0";"0";"0";""
Tenno;7/1/2002;"0,4";"-2,2";"6";"-1,6";"86";"4";"4";"9";"0";"0";"0";"0";""
Tenno;8/1/2002;"0,2";"-5,1";"6,4";"-3,8";"74";"8";"6";"15";"0";"0";"0";"0";""
Tenno;9/1/2002;"0,8";"-4";"9";"-3,8";"71";"8";"6";"17";"0";"0";"0";"0";""
Tenno;10/1/2002;"1";"-4,6";"10";"-1,3";"85";"6";"4";"9";"0";"0";"0";"0";""
Tenno;11/1/2002;"1,4";"-4";"9";"-2";"78";"8";"5";"13";"0";"0";"0";"0";""
Tenno;12/1/2002;"1,9";"-3";"9,2";"-1,4";"79";"8";"5";"13";"0";"0";"0";"0";""
Tenno;13/1/2002;"1,3";"-3";"8";"-1,1";"84";"10";"6";"11";"0";"0";"0";"0";""
Tenno;14/1/2002;"0,9";"-4";"7";"-1,2";"86";"10";"7";"13";"0";"0";"0";"0";""
Tenno;15/1/2002;"-0,1";"-4,3";"4,6";"-1,1";"93";"7";"5";"11";"0";"0";"0";"0";"neve nebbia "
Tenno;16/1/2002;"0,4";"-2";"4";"-0,7";"92";"1";"4";"8";"0";"0";"0";"0,8";"nebbia "
Tenno;17/1/2002;"-2,8";"-5";"-0,6";"-3,7";"93";"0";"4";"5";"0";"0";"0";"0";"nebbia "
Tenno;18/1/2002;"-2,4";"-6";"4";"-4";"89";"0";"4";"13";"0";"0";"0";"0";"nebbia "
Tenno;19/1/2002;"-1,4";"-6";"3";"-2,4";"93";"1";"4";"18";"0";"0";"0";"0";"nebbia "
Tenno;20/1/2002;"0,9";"-4";"6,8";"-0,8";"88";"2";"4";"9";"0";"0";"0";"0";"nebbia "
Tenno;21/1/2002;"0,9";"-2,1";"5";"-0,1";"93";"2";"5";"9";"0";"0";"0";"0";""
Tenno;22/1/2002;"3,1";"-0,2";"7";"1,7";"90";"2";"4";"9";"0";"0";"0";"0";"pioggia nebbia "
Tenno;23/1/2002;"3,4";"0,6";"5,3";"2,9";"97";"1";"2";"4";"0";"0";"0";"0,8";"pioggia nebbia "
Tenno;24/1/2002;"4,3";"3";"5,7";"3,8";"97";"2";"4";"8";"0";"0";"0";"18";"pioggia nebbia "
Tenno;25/1/2002;"5,6";"1";"11";"3,8";"88";"9";"7";"18";"28";"0";"0";"1";"nebbia "
Tenno;26/1/2002;"4,2";"1";"9";"3,4";"95";"4";"5";"13";"0";"0";"0";"0";"nebbia "
Tenno;27/1/2002;"4,2";"1,9";"8";"3,8";"97";"1";"3";"8";"0";"0";"0";"0";"nebbia "
Tenno;28/1/2002;"5,3";"4";"9";"4,7";"96";"1";"4";"8";"0";"0";"0";"0";"nebbia "
Tenno;29/1/2002;"4,2";"1,9";"7";"2,9";"91";"0";"3";"9";"0";"0";"0";"0";"nebbia "
Tenno;30/1/2002;"4,4";"3,9";"5";"3,2";"92";"2";"5";"11";"0";"0";"0";"0";"nebbia "
Tenno;31/1/2002;"4,7";"4";"6";"4,2";"97";"3";"3";"5";"0";"0";"0";"0";""
