LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/4/2004;"11,5";"4";"18,3";"1,7";"51";"6";"5";"15";"0";"0";"0";"0";""
Tenno;2/4/2004;"13,9";"6,8";"20,4";"4";"51";"6";"6";"11";"0";"0";"0";"0";""
Tenno;3/4/2004;"14,3";"8,4";"19,6";"6,4";"59";"5";"5";"15";"0";"0";"0";"0";"nebbia "
Tenno;4/4/2004;"13,1";"5";"19,5";"8,4";"73";"2";"4";"13";"0";"0";"0";"0";"nebbia "
Tenno;5/4/2004;"14,5";"11";"20,4";"6,1";"57";"6";"11";"28";"44";"0";"0";"0";"nebbia "
Tenno;6/4/2004;"12,3";"8";"16,4";"6,3";"67";"8";"13";"24";"42";"0";"0";"18";"pioggia temporale "
Tenno;7/4/2004;"8,6";"4";"11,4";"1,6";"61";"10";"11";"18";"63";"0";"0";"0";"pioggia temporale "
Tenno;8/4/2004;"8,7";"1,8";"15";"0,3";"55";"11";"9";"29";"0";"0";"0";"0";"pioggia "
Tenno;9/4/2004;"8,1";"7";"10";"2,3";"67";"11";"18";"29";"47";"0";"0";"4,8";"pioggia "
Tenno;10/4/2004;"9,4";"6";"14";"1,9";"59";"11";"7";"21";"0";"0";"0";"0,8";"pioggia "
Tenno;11/4/2004;"10,7";"2,9";"16,4";"0,1";"48";"11";"8";"21";"0";"0";"0";"0";""
Tenno;12/4/2004;"10,7";"8";"14,8";"0,4";"49";"11";"12";"28";"42";"0";"0";"0";"pioggia "
Tenno;13/4/2004;"9,3";"7";"12,6";"6,4";"82";"7";"8";"17";"0";"0";"0";"8,9";"pioggia "
Tenno;14/4/2004;"11,9";"6,7";"17,5";"5,2";"63";"6";"8";"15";"0";"0";"0";"0";""
Tenno;15/4/2004;"11,8";"9,8";"15";"3,9";"58";"8";"12";"24";"0";"0";"0";"0";"pioggia "
Tenno;16/4/2004;"10,7";"9";"13";"8";"83";"7";"14";"24";"44";"0";"0";"2,8";"pioggia "
Tenno;17/4/2004;"12,8";"8,8";"17,2";"6,7";"66";"10";"4";"13";"0";"0";"0";"3,1";"pioggia "
Tenno;18/4/2004;"13";"11";"17,4";"10,4";"84";"8";"6";"15";"0";"0";"0";"3,1";"pioggia temporale "
Tenno;19/4/2004;"11,8";"10";"15";"9,5";"86";"8";"13";"31";"48";"0";"0";"0";"pioggia temporale "
Tenno;20/4/2004;"13,3";"8,7";"20,2";"2,4";"48";"11";"8";"18";"0";"0";"0";"2";"pioggia "
Tenno;21/4/2004;"15,9";"8";"22,4";"4,7";"47";"11";"5";"11";"0";"0";"0";"0";""
Tenno;22/4/2004;"17,4";"9,4";"25";"5,8";"46";"10";"4";"11";"0";"0";"0";"0";""
Tenno;23/4/2004;"18,4";"12";"25,2";"5,4";"42";"10";"6";"11";"0";"0";"0";"0";""
Tenno;24/4/2004;"17,7";"12";"26";"8,7";"56";"11";"13";"42";"0";"0";"0";"2";"pioggia temporale "
Tenno;25/4/2004;"14,3";"7";"19";"2,4";"45";"11";"8";"26";"0";"0";"0";"1";""
Tenno;26/4/2004;"14,9";"8";"20,8";"2,4";"43";"11";"5";"11";"0";"0";"0";"0";""
Tenno;27/4/2004;"15,9";"8,4";"22,3";"3,4";"43";"10";"5";"17";"0";"0";"0";"0";""
Tenno;28/4/2004;"17,4";"10";"24";"4,4";"42";"11";"12";"0";"0";"0";"0";"0";""
Tenno;29/4/2004;"17,1";"11,3";"22";"7,6";"54";"10";"21";"31";"48";"0";"0";"0";"pioggia "
Tenno;30/4/2004;"14,9";"13,6";"16,4";"12,7";"87";"9";"19";"29";"0";"0";"0";"31";"pioggia "
