LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/2/2004;"4,7";"2";"8,3";"-1,8";"63";"6";"6";"13";"0";"0";"0";"0";""
Tenno;2/2/2004;"4,1";"1";"8,4";"-2";"64";"5";"4";"8";"0";"0";"0";"0";""
Tenno;3/2/2004;"3,6";"-2,8";"10";"0,6";"81";"3";"4";"9";"0";"0";"0";"0";""
Tenno;4/2/2004;"3,2";"-4";"13,2";"0,6";"83";"1";"2";"8";"0";"0";"0";"0";"nebbia "
Tenno;5/2/2004;"4,8";"-4";"15,2";"-0,7";"67";"3";"4";"13";"0";"0";"0";"0";"nebbia "
Tenno;6/2/2004;"1,6";"-2";"5,4";"1,3";"98";"0";"3";"8";"0";"0";"0";"0";"nebbia "
Tenno;7/2/2004;"3,5";"2";"5,7";"2,8";"95";"1";"3";"8";"0";"0";"0";"0";"nebbia "
Tenno;8/2/2004;"5,1";"-3";"13,2";"1,3";"76";"2";"7";"21";"0";"0";"0";"0";"nebbia "
Tenno;9/2/2004;"4";"-3";"13,2";"-4,1";"55";"5";"4";"13";"0";"0";"0";"0";"nebbia "
Tenno;10/2/2004;"6,1";"1";"12,6";"-12,2";"25";"10";"8";"15";"0";"0";"0";"0";""
Tenno;11/2/2004;"5,7";"-2";"13,4";"-2,1";"57";"8";"6";"21";"0";"0";"0";"0";""
Tenno;12/2/2004;"3,9";"-0,2";"8,8";"-3,8";"57";"9";"14";"24";"37";"0";"0";"0";""
Tenno;13/2/2004;"3,1";"0";"6,2";"-4,8";"56";"10";"4";"11";"0";"0";"0";"0";""
Tenno;14/2/2004;"2,5";"-2,8";"7,2";"-2,3";"71";"5";"5";"15";"0";"0";"0";"0";""
Tenno;15/2/2004;"3,2";"-2,4";"10";"-3,3";"62";"4";"6";"17";"0";"0";"0";"0";""
Tenno;16/2/2004;"4,6";"-1,2";"11,2";"-0,3";"70";"3";"5";"11";"0";"0";"0";"0";""
Tenno;17/2/2004;"5,7";"2";"10";"0,5";"69";"4";"6";"9";"0";"0";"0";"0";""
Tenno;18/2/2004;"3,2";"-2";"7,2";"1,2";"87";"2";"8";"21";"0";"0";"0";"0";"pioggia nebbia "
Tenno;19/2/2004;"3,9";"3";"5";"0,5";"78";"8";"40";"57";"91";"0";"0";"13";"pioggia "
Tenno;20/2/2004;"4,6";"3";"6,2";"0,4";"74";"10";"18";"35";"52";"0";"0";"7,1";"pioggia "
Tenno;21/2/2004;"5,6";"3,8";"9";"1,2";"73";"6";"17";"28";"0";"0";"0";"11,9";"pioggia "
Tenno;22/2/2004;"6,7";"5,2";"9,3";"6,4";"98";"4";"5";"11";"0";"0";"0";"16";"pioggia "
Tenno;23/2/2004;"7,1";"5";"9,3";"6,2";"94";"3";"7";"26";"0";"0";"0";"11,9";"pioggia nebbia "
Tenno;24/2/2004;"3,1";"1,1";"5,1";"-5";"55";"9";"11";"24";"0";"0";"0";"10,9";"pioggia neve "
Tenno;25/2/2004;"1,9";"-2";"5,2";"-2,8";"71";"6";"3";"11";"0";"0";"0";"0";"pioggia nebbia "
Tenno;26/2/2004;"2,4";"1";"5";"-0,2";"83";"3";"5";"9";"0";"0";"0";"1";"pioggia neve "
Tenno;27/2/2004;"2,2";"0,8";"3,5";"1,7";"96";"2";"7";"15";"0";"0";"0";"9,1";"pioggia neve nebbia "
Tenno;28/2/2004;"2,2";"-0,6";"5";"-3,8";"64";"6";"9";"21";"37";"0";"0";"0";"nebbia "
Tenno;29/2/2004;"3,1";"1,7";"5";"-4,3";"58";"9";"8";"15";"0";"0";"0";"0";"pioggia neve "
