LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/8/2006;"24,6";"21,6";"29,2";"22,9";"90";"11";"10";"29";"61";"0";"0";"10,9";"pioggia temporale "
Tenno;2/8/2006;"24,7";"21";"29,6";"17,9";"66";"9";"15";"34";"0";"0";"0";"3,1";""
Tenno;3/8/2006;"20,3";"16";"24,8";"16,1";"77";"11";"16";"28";"50";"0";"0";"19,1";"pioggia temporale "
Tenno;4/8/2006;"20,1";"15,6";"26,6";"13,8";"67";"11";"7";"22";"0";"0";"0";"6,1";"pioggia "
Tenno;5/8/2006;"21,3";"14";"27,4";"12,9";"59";"11";"7";"11";"0";"0";"0";"0";""
Tenno;6/8/2006;"22,7";"16,4";"30,8";"13,2";"55";"11";"7";"15";"0";"0";"0";"0";""
Tenno;7/8/2006;"25,2";"16,8";"32,6";"11,6";"43";"11";"12";"24";"0";"0";"0";"0";""
Tenno;8/8/2006;"26,6";"19";"32";"9,8";"35";"11";"8";"13";"0";"0";"0";"0";""
Tenno;9/8/2006;"22,6";"18,8";"28,8";"15,6";"65";"11";"10";"34";"55";"0";"0";"6,1";"pioggia temporale "
Tenno;10/8/2006;"22,6";"17,4";"28,6";"15,7";"65";"11";"8";"21";"0";"0";"0";"0";"pioggia temporale "
Tenno;11/8/2006;"20,1";"16,8";"25,2";"16,2";"78";"11";"9";"22";"0";"0";"0";"9,1";"pioggia temporale "
Tenno;12/8/2006;"17,7";"13";"23,2";"14,1";"79";"11";"7";"18";"0";"0";"0";"17";"pioggia temporale "
Tenno;13/8/2006;"18,8";"11,8";"25,2";"12,3";"66";"11";"5";"17";"50";"0";"0";"0";"pioggia temporale "
Tenno;14/8/2006;"18,8";"12,8";"25";"13,2";"70";"11";"7";"18";"0";"0";"0";"7,9";"pioggia temporale "
Tenno;15/8/2006;"20";"13,6";"25,8";"13,6";"67";"11";"5";"13";"0";"0";"0";"0";""
Tenno;16/8/2006;"19,4";"17";"22,2";"18,7";"96";"10";"8";"15";"0";"0";"0";"25,2";"pioggia temporale "
Tenno;17/8/2006;"23,3";"17,8";"29";"18,8";"76";"10";"9";"31";"68";"0";"0";"0";"pioggia temporale "
Tenno;18/8/2006;"26,1";"20,4";"31,2";"17,1";"58";"11";"11";"18";"0";"0";"0";"0";"pioggia "
Tenno;19/8/2006;"23,6";"19";"28,8";"18,4";"73";"11";"5";"13";"0";"0";"0";"0";"pioggia "
Tenno;20/8/2006;"24,2";"18,4";"30";"18,2";"69";"11";"7";"15";"0";"0";"0";"0";""
Tenno;21/8/2006;"23";"18";"28,4";"14,5";"59";"11";"7";"21";"0";"0";"0";"0,5";"pioggia temporale "
Tenno;22/8/2006;"23,3";"16,8";"29";"15,7";"62";"11";"4";"15";"0";"0";"0";"0";""
Tenno;23/8/2006;"23,4";"18";"29";"16,7";"66";"11";"8";"17";"0";"0";"0";"0";""
Tenno;24/8/2006;"22,5";"18";"28,4";"18,4";"78";"10";"8";"44";"94";"0";"0";"4,1";"pioggia temporale "
Tenno;25/8/2006;"20,7";"16,6";"26";"15,5";"72";"10";"9";"21";"0";"0";"0";"14";"pioggia temporale "
Tenno;26/8/2006;"21,2";"15,4";"27,4";"14,5";"66";"11";"5";"11";"0";"0";"0";"0";""
Tenno;27/8/2006;"20,7";"14";"26,4";"15,6";"73";"11";"8";"37";"0";"0";"0";"15";"pioggia temporale "
Tenno;28/8/2006;"20,6";"16";"25";"16,4";"77";"11";"4";"9";"0";"0";"0";"0";""
Tenno;29/8/2006;"21,2";"16";"26,4";"12,1";"56";"11";"10";"21";"0";"0";"0";"0";"pioggia "
Tenno;30/8/2006;"19";"13,4";"26";"10,9";"59";"9";"9";"15";"0";"0";"0";"1";"pioggia "
Tenno;31/8/2006;"19,3";"11";"26,6";"8,3";"49";"10";"8";"21";"0";"0";"0";"0";""
