LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/11/2009;"8";"3";"14";"6";"91";"7";"4";"7";"0";"1023";"0";"0";""
Tenno;2/11/2009;"8";"5";"9";"8";"99";"3";"9";"20";"0";"1008";"0";"0";"pioggia "
Tenno;3/11/2009;"9";"5";"14";"7";"91";"7";"8";"18";"0";"999";"0";"0";"pioggia "
Tenno;4/11/2009;"8";"4";"11";"8";"99";"6";"4";"10";"0";"999";"0";"0";"pioggia "
Tenno;5/11/2009;"8";"5";"12";"7";"93";"6";"3";"6";"0";"1004";"0";"0";"pioggia "
Tenno;6/11/2009;"8";"7";"9";"8";"98";"9";"5";"10";"0";"1007";"0";"0";"pioggia "
Tenno;7/11/2009;"8";"-4";"13";"7";"93";"8";"6";"18";"0";"1007";"0";"0";"pioggia nebbia "
Tenno;8/11/2009;"9";"9";"11";"7";"83";"11";"18";"25";"36";"998";"0";"0";"pioggia "
Tenno;9/11/2009;"10";"7";"12";"9";"94";"10";"9";"17";"29";"1004";"0";"0";"pioggia "
Tenno;10/11/2009;"10";"5";"15";"8";"87";"10";"6";"9";"0";"1005";"0";"0";""
Tenno;11/11/2009;"7";"1";"15";"4";"83";"7";"3";"7";"0";"1007";"0";"0";"nebbia "
Tenno;12/11/2009;"6";"0";"14";"4";"83";"8";"3";"7";"0";"1014";"0";"0";""
Tenno;13/11/2009;"9";"5";"11";"8";"94";"5";"3";"5";"0";"1022";"0";"0";""
Tenno;14/11/2009;"10";"8";"12";"10";"100";"2";"3";"7";"0";"1023";"0";"0";"pioggia nebbia "
Tenno;15/11/2009;"10";"9";"12";"10";"98";"1";"3";"6";"0";"1021";"0";"0";"pioggia nebbia "
Tenno;16/11/2009;"11";"10";"13";"11";"99";"1";"3";"7";"0";"1019";"0";"0";"pioggia nebbia "
Tenno;17/11/2009;"11";"10";"13";"11";"99";"1";"3";"5";"0";"1022";"0";"0";"nebbia "
Tenno;18/11/2009;"11";"10";"12";"11";"99";"1";"3";"6";"0";"1026";"0";"0";"nebbia "
Tenno;19/11/2009;"12";"10";"13";"11";"97";"2";"3";"6";"0";"1029";"0";"0";"nebbia "
Tenno;20/11/2009;"11";"7";"14";"10";"95";"4";"3";"7";"0";"1032";"0";"0";""
Tenno;21/11/2009;"10";"7";"12";"9";"96";"3";"3";"6";"0";"1032";"0";"0";""
Tenno;22/11/2009;"10";"9";"10";"9";"97";"1";"4";"7";"0";"1026";"0";"0";"pioggia nebbia "
Tenno;23/11/2009;"9";"7";"11";"9";"98";"1";"5";"9";"0";"1020";"0";"0";"pioggia nebbia "
Tenno;24/11/2009;"8";"6";"11";"8";"100";"2";"5";"9";"0";"1020";"0";"0";"nebbia "
Tenno;25/11/2009;"8";"7";"9";"8";"98";"2";"3";"6";"0";"1022";"0";"0";""
Tenno;26/11/2009;"8";"8";"9";"8";"99";"1";"2";"5";"0";"1020";"0";"0";"pioggia nebbia "
Tenno;27/11/2009;"9";"9";"10";"9";"99";"3";"4";"8";"0";"1016";"0";"0";"pioggia "
Tenno;28/11/2009;"10";"7";"12";"9";"96";"3";"5";"9";"0";"1016";"0";"0";""
Tenno;29/11/2009;"10";"7";"12";"9";"95";"5";"11";"28";"40";"1014";"0";"0";"pioggia "
Tenno;30/11/2009;"13";"9";"15";"11";"89";"10";"15";"25";"0";"999";"0";"0";"pioggia "
