LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/10/2016;"18";"11";"24";"13";"74";"7";"4";"9";"0";"1016";"0";"0";"pioggia "
Tenno;2/10/2016;"18";"15";"23";"16";"86";"6";"5";"9";"0";"1013";"0";"0";"pioggia "
Tenno;3/10/2016;"17";"12";"23";"11";"71";"10";"8";"17";"0";"1018";"0";"0";""
Tenno;4/10/2016;"16";"10";"23";"8";"62";"10";"10";"26";"0";"1021";"0";"0";""
Tenno;5/10/2016;"13";"8";"18";"8";"72";"10";"13";"26";"0";"1019";"0";"0";"pioggia "
Tenno;6/10/2016;"13";"8";"18";"6";"65";"10";"8";"19";"0";"1016";"0";"0";""
Tenno;7/10/2016;"13";"8";"19";"6";"66";"10";"10";"15";"0";"1014";"0";"0";""
Tenno;8/10/2016;"12";"7";"18";"8";"76";"10";"8";"17";"0";"1016";"0";"0";""
Tenno;9/10/2016;"13";"11";"16";"7";"66";"10";"10";"19";"0";"1019";"0";"0";"pioggia "
Tenno;10/10/2016;"14";"11";"16";"4";"54";"10";"10";"20";"33";"1018";"0";"0";""
Tenno;11/10/2016;"11";"6";"15";"6";"73";"10";"6";"13";"0";"1013";"0";"0";""
Tenno;12/10/2016;"9";"1";"18";"3";"68";"10";"7";"13";"0";"1014";"0";"0";""
Tenno;13/10/2016;"10";"6";"16";"6";"77";"9";"7";"17";"0";"998";"0";"0";"pioggia "
Tenno;14/10/2016;"13";"10";"17";"12";"94";"7";"10";"26";"30";"1014";"0";"0";"pioggia temporale "
Tenno;15/10/2016;"15";"13";"19";"14";"90";"9";"10";"26";"44";"1015";"0";"0";"pioggia "
Tenno;16/10/2016;"14";"10";"20";"13";"91";"4";"5";"15";"0";"1021";"0";"0";"nebbia "
Tenno;17/10/2016;"14";"11";"16";"13";"95";"2";"4";"9";"0";"1024";"0";"0";"nebbia "
Tenno;18/10/2016;"14";"10";"19";"12";"90";"4";"7";"15";"0";"1040";"0";"0";"nebbia "
Tenno;19/10/2016;"13";"10";"16";"12";"95";"4";"6";"11";"0";"1017";"0";"0";"pioggia "
Tenno;20/10/2016;"12";"8";"14";"11";"93";"8";"7";"15";"0";"1012";"0";"0";"pioggia "
Tenno;21/10/2016;"10";"5";"16";"7";"85";"10";"7";"17";"0";"1013";"0";"0";""
Tenno;22/10/2016;"11";"6";"15";"8";"85";"9";"5";"9";"0";"1016";"0";"0";"pioggia nebbia "
Tenno;23/10/2016;"12";"9";"15";"9";"83";"8";"6";"9";"0";"1018";"0";"0";""
Tenno;24/10/2016;"13";"12";"15";"12";"94";"4";"4";"7";"0";"1022";"0";"0";"pioggia "
Tenno;25/10/2016;"14";"13";"15";"14";"98";"3";"5";"11";"0";"1023";"0";"0";"pioggia "
Tenno;26/10/2016;"15";"13";"17";"14";"97";"5";"6";"11";"0";"1022";"0";"0";"nebbia "
Tenno;27/10/2016;"16";"11";"19";"10";"69";"10";"8";"15";"0";"1027";"0";"0";"pioggia "
Tenno;28/10/2016;"13";"9";"18";"9";"78";"10";"6";"11";"0";"1032";"0";"0";""
Tenno;29/10/2016;"11";"5";"19";"8";"84";"7";"7";"17";"0";"1027";"0";"0";""
Tenno;30/10/2016;"11";"5";"18";"8";"83";"7";"5";"13";"0";"1024";"0";"0";"nebbia "
Tenno;31/10/2016;"12";"6";"17";"9";"83";"8";"5";"11";"0";"1026";"0";"0";"nebbia "
