LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/9/2016;"24";"18";"30";"16";"64";"10";"5";"11";"0";"1019";"0";"0";""
Tenno;2/9/2016;"25";"19";"32";"17";"63";"10";"5";"9";"0";"1019";"0";"0";""
Tenno;3/9/2016;"25";"19";"32";"16";"58";"10";"6";"9";"0";"1018";"0";"0";""
Tenno;4/9/2016;"25";"19";"31";"17";"60";"10";"6";"13";"0";"1015";"0";"0";""
Tenno;5/9/2016;"24";"21";"28";"17";"66";"10";"8";"17";"0";"1013";"0";"0";""
Tenno;6/9/2016;"22";"15";"30";"13";"65";"9";"11";"33";"52";"1017";"0";"0";"pioggia "
Tenno;7/9/2016;"22";"14";"29";"13";"63";"10";"8";"17";"0";"1019";"0";"0";""
Tenno;8/9/2016;"23";"17";"30";"14";"57";"10";"7";"13";"0";"1015";"0";"0";""
Tenno;9/9/2016;"24";"18";"31";"14";"56";"10";"8";"17";"0";"1014";"0";"0";""
Tenno;10/9/2016;"25";"18";"32";"14";"53";"10";"7";"13";"0";"1015";"0";"0";""
Tenno;11/9/2016;"24";"18";"31";"15";"58";"10";"8";"15";"0";"1016";"0";"0";"temporale "
Tenno;12/9/2016;"24";"18";"31";"15";"59";"10";"6";"13";"0";"1018";"0";"0";""
Tenno;13/9/2016;"24";"16";"32";"15";"60";"10";"6";"9";"0";"1016";"0";"0";"temporale "
Tenno;14/9/2016;"24";"16";"31";"16";"63";"10";"5";"9";"0";"1014";"0";"0";""
Tenno;15/9/2016;"22";"17";"25";"18";"77";"10";"10";"22";"0";"1015";"0";"0";"pioggia temporale "
Tenno;16/9/2016;"19";"17";"22";"17";"88";"8";"7";"15";"0";"1015";"0";"0";"pioggia "
Tenno;17/9/2016;"20";"17";"25";"15";"78";"8";"13";"30";"0";"1010";"0";"0";"pioggia temporale "
Tenno;18/9/2016;"19";"13";"24";"13";"75";"10";"6";"15";"0";"1010";"0";"0";"pioggia "
Tenno;19/9/2016;"20";"15";"26";"14";"70";"10";"8";"13";"0";"1009";"0";"0";""
Tenno;20/9/2016;"20";"13";"26";"13";"66";"10";"7";"19";"0";"1011";"0";"0";""
Tenno;21/9/2016;"17";"14";"20";"13";"76";"10";"11";"19";"0";"1015";"0";"0";"pioggia temporale "
Tenno;22/9/2016;"18";"14";"23";"11";"65";"10";"5";"11";"0";"1021";"0";"0";""
Tenno;23/9/2016;"17";"11";"24";"10";"66";"10";"6";"9";"0";"1024";"0";"0";""
Tenno;24/9/2016;"18";"12";"25";"11";"67";"10";"6";"9";"0";"1025";"0";"0";""
Tenno;25/9/2016;"18";"11";"25";"11";"68";"0";"6";"13";"0";"1020";"0";"0";""
Tenno;26/9/2016;"18";"13";"25";"12";"71";"10";"6";"11";"0";"1020";"0";"0";""
Tenno;27/9/2016;"19";"13";"25";"12";"66";"10";"6";"9";"0";"1023";"0";"0";""
Tenno;28/9/2016;"18";"12";"24";"12";"71";"9";"6";"11";"0";"1028";"0";"0";""
Tenno;29/9/2016;"18";"13";"25";"13";"75";"6";"6";"11";"0";"1026";"0";"0";""
Tenno;30/9/2016;"18";"12";"25";"13";"73";"6";"6";"15";"0";"1020";"0";"0";""
