LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/12/2018;"3";"-1";"8";"2";"89";"8";"5";"11";"0";"1020";"0";"0";"nebbia "
Tenno;2/12/2018;"2";"-2";"6";"4";"95";"3";"4";"9";"0";"1019";"0";"0";"nebbia "
Tenno;3/12/2018;"6";"4";"10";"5";"89";"5";"6";"13";"0";"1015";"0";"0";""
Tenno;4/12/2018;"5";"0";"9";"4";"95";"3";"5";"9";"0";"1015";"0";"0";"nebbia "
Tenno;5/12/2018;"6";"0";"13";"4";"90";"12";"6";"18";"0";"1025";"0";"0";"nebbia "
Tenno;6/12/2018;"6";"3";"8";"5";"93";"7";"5";"13";"0";"1024";"0";"0";"pioggia nebbia "
Tenno;7/12/2018;"3";"1";"6";"3";"98";"1";"5";"11";"0";"1020";"0";"0";"pioggia nebbia "
Tenno;8/12/2018;"8";"2";"14";"6";"89";"7";"8";"21";"0";"1012";"0";"0";"pioggia nebbia "
Tenno;9/12/2018;"5";"0";"10";"4";"85";"12";"10";"22";"0";"1009";"0";"0";"nebbia "
Tenno;10/12/2018;"5";"2";"7";"2";"70";"20";"12";"26";"0";"1012";"0";"0";""
Tenno;11/12/2018;"5";"-2";"12";"1";"54";"18";"9";"22";"0";"1017";"0";"0";""
Tenno;12/12/2018;"0";"-2";"4";"0";"54";"19";"7";"15";"0";"1019";"0";"0";""
Tenno;13/12/2018;"-1";"-3";"1";"0";"67";"19";"7";"11";"0";"1017";"0";"0";""
Tenno;14/12/2018;"-2";"-3";"0";"0";"75";"18";"10";"13";"0";"1017";"0";"0";""
Tenno;15/12/2018;"-3";"-5";"-2";"0";"82";"19";"6";"13";"0";"1019";"0";"0";""
Tenno;16/12/2018;"-1";"-3";"2";"0";"85";"15";"6";"13";"0";"1019";"0";"0";"neve "
Tenno;17/12/2018;"3";"-1";"8";"1";"83";"7";"9";"17";"0";"1021";"0";"0";""
Tenno;18/12/2018;"-2";"-5";"3";"0";"90";"5";"5";"9";"0";"1028";"0";"0";"nebbia "
Tenno;19/12/2018;"1";"-4";"4";"2";"94";"5";"4";"11";"0";"1024";"0";"0";"pioggia nebbia "
Tenno;20/12/2018;"4";"2";"6";"2";"92";"7";"11";"17";"0";"1023";"0";"0";"nebbia "
Tenno;21/12/2018;"1";"-1";"2";"2";"99";"1";"5";"13";"0";"1026";"0";"0";"nebbia "
Tenno;22/12/2018;"3";"0";"6";"3";"94";"2";"4";"9";"0";"1021";"0";"0";"nebbia "
Tenno;23/12/2018;"0";"-3";"3";"2";"99";"2";"6";"11";"0";"1023";"0";"0";"nebbia "
Tenno;24/12/2018;"3";"1";"8";"3";"99";"1";"14";"100";"0";"1017";"0";"0";"nebbia "
Tenno;25/12/2018;"1";"0";"2";"1";"100";"3";"7";"13";"0";"1029";"0";"0";"nebbia "
Tenno;26/12/2018;"0";"-1";"0";"0";"100";"1";"5";"11";"0";"1031";"0";"0";"nebbia "
Tenno;27/12/2018;"0";"-2";"2";"1";"100";"1";"5";"8";"0";"1028";"0";"0";"nebbia "
Tenno;28/12/2018;"1";"-2";"5";"2";"97";"4";"4";"9";"0";"1025";"0";"0";"nebbia "
Tenno;29/12/2018;"2";"-3";"9";"3";"91";"15";"4";"8";"0";"1026";"0";"0";"nebbia "
Tenno;30/12/2018;"4";"-1";"13";"1";"75";"16";"8";"28";"0";"1024";"0";"0";""
Tenno;31/12/2018;"2";"-3";"10";"3";"88";"15";"5";"11";"0";"1026";"0";"0";"nebbia "
