LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/5/2022;"16";"12";"21";"7";"59";"20";"11";"22";"0";"1016";"0";"0";"pioggia temporale "
Tenno;2/5/2022;"16";"9";"22";"8";"64";"20";"6";"11";"0";"1014";"0";"0";""
Tenno;3/5/2022;"17";"9";"23";"8";"57";"19";"8";"13";"0";"1014";"0";"0";""
Tenno;4/5/2022;"17";"10";"24";"8";"63";"21";"7";"22";"0";"1016";"0";"0";""
Tenno;5/5/2022;"14";"10";"19";"10";"77";"16";"9";"22";"0";"1019";"0";"0";"pioggia "
Tenno;6/5/2022;"13";"12";"16";"11";"88";"15";"13";"21";"0";"1019";"0";"0";"pioggia "
Tenno;7/5/2022;"14";"11";"19";"12";"86";"11";"5";"17";"0";"1019";"0";"0";"pioggia "
Tenno;8/5/2022;"17";"13";"22";"11";"70";"18";"9";"21";"0";"1019";"0";"0";"pioggia nebbia "
Tenno;9/5/2022;"18";"11";"25";"11";"65";"20";"8";"18";"0";"1022";"0";"0";"pioggia "
Tenno;10/5/2022;"19";"11";"26";"10";"59";"19";"7";"17";"0";"1021";"0";"0";""
Tenno;11/5/2022;"21";"13";"28";"12";"56";"18";"8";"15";"0";"1019";"0";"0";""
Tenno;12/5/2022;"21";"12";"28";"12";"59";"20";"7";"17";"0";"1019";"0";"0";""
Tenno;13/5/2022;"22";"13";"28";"13";"58";"20";"5";"13";"0";"1018";"0";"0";""
Tenno;14/5/2022;"22";"15";"28";"14";"63";"19";"6";"18";"0";"1018";"0";"0";"pioggia "
Tenno;15/5/2022;"23";"17";"29";"15";"64";"21";"6";"11";"0";"1017";"0";"0";""
Tenno;16/5/2022;"24";"16";"31";"14";"59";"18";"8";"18";"0";"1017";"0";"0";""
Tenno;17/5/2022;"24";"15";"31";"12";"53";"19";"10";"22";"0";"1017";"0";"0";""
Tenno;18/5/2022;"23";"17";"27";"14";"57";"19";"12";"24";"0";"1021";"0";"0";""
Tenno;19/5/2022;"23";"18";"28";"10";"46";"19";"7";"11";"0";"1026";"0";"0";""
Tenno;20/5/2022;"23";"14";"31";"11";"48";"21";"8";"17";"0";"1024";"0";"0";""
Tenno;21/5/2022;"24";"15";"31";"14";"58";"20";"6";"13";"0";"1017";"0";"0";""
Tenno;22/5/2022;"25";"18";"31";"17";"61";"19";"6";"13";"0";"1011";"0";"0";""
Tenno;23/5/2022;"25";"20";"29";"18";"65";"17";"9";"15";"0";"1007";"0";"0";""
Tenno;24/5/2022;"23";"17";"29";"15";"62";"19";"8";"30";"0";"1006";"0";"0";"pioggia temporale "
Tenno;25/5/2022;"23";"15";"29";"14";"62";"20";"7";"17";"0";"1012";"0";"0";""
Tenno;26/5/2022;"22";"16";"28";"16";"70";"20";"6";"15";"0";"1019";"0";"0";"pioggia temporale "
Tenno;27/5/2022;"25";"18";"31";"17";"65";"19";"7";"17";"0";"1016";"0";"0";""
Tenno;28/5/2022;"22";"16";"27";"15";"66";"20";"17";"33";"0";"1009";"0";"0";"pioggia temporale "
Tenno;29/5/2022;"16";"13";"17";"8";"59";"21";"15";"28";"0";"1008";"0";"0";"pioggia "
Tenno;30/5/2022;"17";"12";"21";"9";"62";"19";"6";"13";"0";"1010";"0";"0";"pioggia "
Tenno;31/5/2022;"21";"15";"25";"13";"63";"20";"6";"9";"0";"1014";"0";"0";"pioggia "
