LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/8/2001;"26,2";"18,8";"32,6";"18,3";"62";"11";"10";"26";"0";"0";"0";"0";""
Trento;2/8/2001;"26,3";"18,3";"32,2";"18,3";"61";"11";"10";"22";"0";"0";"0";"0";""
Trento;3/8/2001;"27,7";"20,4";"34,3";"19,8";"62";"10";"10";"29";"0";"0";"0";"0";""
Trento;4/8/2001;"23,1";"20,6";"32,6";"18,5";"75";"11";"7";"31";"67";"0";"0";"0";"temporale "
Trento;5/8/2001;"22,4";"17,7";"27,6";"14,4";"61";"11";"7";"17";"0";"0";"0";"7,1";"pioggia "
Trento;6/8/2001;"21,3";"16,4";"25,7";"13,7";"62";"11";"8";"18";"0";"0";"0";"0";"pioggia "
Trento;7/8/2001;"22,7";"14,9";"29,3";"14,9";"61";"11";"12";"28";"0";"0";"0";"0";""
Trento;8/8/2001;"22,4";"17,4";"26,5";"17";"72";"11";"6";"17";"0";"0";"0";"0";""
Trento;9/8/2001;"21,6";"18";"25,7";"18,6";"83";"10";"6";"18";"0";"0";"0";"0,8";"pioggia temporale "
Trento;10/8/2001;"19";"18,5";"19,5";"16";"83";"10";"6";"11";"0";"0";"0";"2";""
Trento;11/8/2001;"23,3";"19,1";"25,6";"0";"0";"11";"19";"26";"48";"0";"0";"0";""
Trento;12/8/2001;"20,5";"11";"28";"9,6";"50";"13";"9";"15";"0";"0";"0";"0";""
Trento;13/8/2001;"22,1";"12,8";"28";"13,3";"57";"13";"8";"18";"29";"0";"0";"0";""
Trento;14/8/2001;"23,5";"14";"30,4";"14,6";"57";"11";"9";"22";"0";"0";"0";"0";""
Trento;15/8/2001;"25,2";"15,5";"30,6";"15,4";"55";"10";"13";"28";"0";"0";"0";"0";""
Trento;16/8/2001;"26";"16,7";"31,1";"16,9";"57";"11";"12";"26";"0";"0";"0";"0";""
Trento;17/8/2001;"22,4";"18";"29,5";"18,1";"77";"12";"6";"13";"0";"0";"0";"2";"pioggia temporale "
Trento;18/8/2001;"19,3";"17";"22,6";"17,5";"89";"11";"5";"13";"0";"0";"0";"11,9";"pioggia temporale "
Trento;19/8/2001;"23,1";"16";"28";"16,2";"65";"12";"6";"11";"0";"0";"0";"0";""
Trento;20/8/2001;"20,7";"17,2";"23";"17,1";"80";"11";"3";"5";"0";"0";"0";"0";"pioggia "
Trento;21/8/2001;"20,2";"13";"27";"13,5";"65";"11";"7";"11";"0";"0";"0";"0";""
Trento;22/8/2001;"21,9";"14";"26,1";"14,9";"64";"15";"5";"11";"0";"0";"0";"0";""
Trento;23/8/2001;"24,3";"15,2";"29";"15,7";"59";"11";"12";"17";"0";"0";"0";"0";""
Trento;24/8/2001;"24,6";"17,4";"29,7";"16,9";"62";"11";"13";"22";"0";"0";"0";"0";""
Trento;25/8/2001;"25,1";"18,9";"30,3";"17,9";"64";"10";"11";"21";"0";"0";"0";"0";""
Trento;26/8/2001;"25,3";"17,5";"31,1";"17,8";"63";"11";"9";"17";"0";"0";"0";"0";""
Trento;27/8/2001;"25,8";"19,7";"31";"18,3";"63";"11";"9";"18";"0";"0";"0";"0";"temporale "
Trento;28/8/2001;"24,7";"15,9";"31,1";"15,6";"57";"10";"9";"18";"0";"0";"0";"0";""
Trento;29/8/2001;"25,4";"16,8";"31,8";"15,8";"55";"10";"9";"18";"0";"0";"0";"0";""
Trento;30/8/2001;"20,6";"18";"24,2";"16,9";"79";"10";"4";"11";"0";"0";"0";"5,1";"pioggia temporale "
Trento;31/8/2001;"18,4";"13";"23,5";"14,2";"77";"10";"7";"17";"0";"0";"0";"33";"pioggia temporale "
