LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/1/2001;"-0,8";"-5,5";"2,6";"-9,2";"53";"18";"0";"2";"0";"1020";"989";"0";""
Trento;2/1/2001;"-1,3";"-5,5";"0,3";"-5,2";"75";"8";"0";"0";"0";"0";"0";"0";"neve nebbia "
Trento;3/1/2001;"-0,7";"-3";"4,3";"-3";"84";"6";"0";"5";"0";"0";"0";"9,9";""
Trento;4/1/2001;"-0,2";"-4,2";"1";"-2,1";"87";"9";"0";"2";"0";"0";"0";"0,8";"neve "
Trento;5/1/2001;"-0,5";"-4";"1,3";"-2,4";"87";"10";"0";"2";"0";"0";"0";"0";""
Trento;6/1/2001;"0,7";"-0,3";"2";"-0,7";"90";"1";"0";"2";"0";"0";"0";"0,8";"pioggia nebbia "
Trento;7/1/2001;"1,3";"-0,1";"2,7";"0";"0";"1";"0";"2";"0";"0";"0";"13,2";"pioggia temporale nebbia "
Trento;8/1/2001;"4,2";"3";"6";"2,2";"87";"9";"0";"2";"0";"0";"0";"2";"pioggia nebbia "
Trento;9/1/2001;"4,1";"-3,3";"11,5";"-3,5";"58";"10";"0";"2";"0";"0";"0";"0";""
Trento;10/1/2001;"0,9";"-2";"2,6";"-3,1";"75";"11";"0";"0";"0";"0";"0";"0";""
Trento;11/1/2001;"2,3";"-2";"6,6";"-1,3";"77";"11";"0";"4";"0";"0";"0";"0";""
Trento;12/1/2001;"1,8";"-2,7";"4,5";"-1,3";"80";"11";"0";"5";"0";"0";"0";"0";""
Trento;13/1/2001;"2,7";"-1";"8,6";"-1,8";"72";"11";"3";"9";"0";"0";"0";"0";""
Trento;14/1/2001;"0,4";"-3";"5,1";"-9,1";"49";"10";"1";"8";"0";"0";"0";"0";""
Trento;15/1/2001;"-3,4";"-8";"2,2";"-9,6";"62";"10";"0";"2";"0";"0";"0";"0";""
Trento;16/1/2001;"-4,1";"-9,4";"1,6";"-10,1";"63";"10";"0";"2";"0";"0";"0";"0";""
Trento;17/1/2001;"-3,2";"-8,1";"1,2";"-10";"59";"11";"0";"2";"0";"0";"0";"0";""
Trento;18/1/2001;"-0,9";"-3";"2,3";"-3,6";"82";"6";"0";"0";"0";"0";"0";"3,1";"neve "
Trento;19/1/2001;"-0,4";"-4,3";"5,4";"-3,8";"78";"10";"0";"4";"0";"0";"0";"0";"nebbia "
Trento;20/1/2001;"-0,7";"-4,4";"3";"-4,3";"0";"11";"0";"2";"0";"0";"0";"0";""
Trento;21/1/2001;"0,6";"-4,7";"6,3";"-5,2";"65";"10";"0";"2";"0";"0";"0";"0";""
Trento;22/1/2001;"-1,4";"-4,8";"3";"-4,4";"80";"11";"0";"2";"0";"0";"0";"0";""
Trento;23/1/2001;"2,6";"-0,6";"5,8";"-1,6";"74";"9";"0";"2";"0";"0";"0";"0";""
Trento;24/1/2001;"1,7";"0,5";"2,8";"0,3";"90";"5";"0";"2";"0";"0";"0";"6,1";"pioggia nebbia "
Trento;25/1/2001;"2,7";"1,2";"4,5";"1,4";"91";"5";"0";"5";"0";"0";"0";"14";"pioggia nebbia "
Trento;26/1/2001;"3,8";"1";"7,8";"1,6";"86";"7";"0";"2";"0";"0";"0";"1";"nebbia "
Trento;27/1/2001;"2,2";"-0,1";"4,8";"0,6";"89";"7";"2";"15";"0";"0";"0";"2,8";"pioggia "
Trento;28/1/2001;"0,6";"-2,3";"4,7";"-5,9";"62";"10";"1";"9";"0";"0";"0";"0";""
Trento;29/1/2001;"0,9";"-3,9";"6,6";"-5,6";"62";"11";"0";"2";"0";"0";"0";"0";""
Trento;30/1/2001;"5,8";"-1,1";"9";"-6,1";"42";"11";"11";"22";"0";"0";"0";"0";""
Trento;31/1/2001;"3,5";"-2,7";"8,6";"-8,9";"40";"10";"9";"22";"41";"0";"0";"0";""
