LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/12/2004;"4,3";"2";"7,4";"2,8";"90";"9";"4";"9";"0";"0";"0";"8,9";"pioggia "
Trento;2/12/2004;"4";"1,1";"6,3";"2,1";"87";"10";"2";"9";"41";"0";"0";"0";"pioggia "
Trento;3/12/2004;"4,2";"1";"9";"2,6";"89";"10";"2";"8";"0";"0";"0";"0";"pioggia "
Trento;4/12/2004;"3,3";"-0,9";"10,6";"0,7";"83";"13";"3";"5";"0";"1030";"1000";"0";""
Trento;5/12/2004;"4,8";"1,5";"8,4";"2,2";"83";"11";"3";"8";"0";"0";"0";"0,5";"pioggia "
Trento;6/12/2004;"4,7";"-4,2";"13,6";"1,7";"81";"11";"2";"4";"0";"0";"0";"0";""
Trento;7/12/2004;"3,7";"-1,2";"10,9";"0,6";"80";"10";"3";"5";"0";"0";"0";"0";""
Trento;8/12/2004;"2,1";"-2,4";"10,2";"-1,4";"78";"10";"3";"5";"0";"0";"0";"0";""
Trento;9/12/2004;"2,6";"-3";"11,4";"-1,2";"76";"10";"2";"5";"0";"0";"0";"0";""
Trento;10/12/2004;"0,8";"-3,4";"11,4";"-3";"76";"10";"2";"5";"0";"0";"0";"0";""
Trento;11/12/2004;"1,3";"-4";"10,1";"-4,1";"67";"10";"2";"5";"0";"1031";"1000";"0";""
Trento;12/12/2004;"0,7";"-5,1";"9,5";"-4,2";"70";"10";"2";"8";"0";"0";"0";"0";""
Trento;13/12/2004;"0,3";"-5,1";"9";"-4,3";"71";"10";"3";"8";"0";"0";"0";"0";""
Trento;14/12/2004;"0,2";"-5,7";"9,3";"-4,1";"73";"11";"2";"4";"0";"0";"0";"0";""
Trento;15/12/2004;"0,1";"-5,5";"8,5";"-4,7";"70";"10";"2";"4";"0";"0";"0";"0";""
Trento;16/12/2004;"-0,1";"-6";"5,7";"-4,2";"74";"11";"3";"5";"0";"0";"0";"0";""
Trento;17/12/2004;"3,6";"1";"7,2";"-0,7";"73";"11";"3";"8";"0";"0";"0";"0";""
Trento;18/12/2004;"5,8";"0,7";"12";"-7,4";"38";"12";"12";"22";"42";"0";"0";"0";""
Trento;19/12/2004;"1,7";"-2,4";"7";"-7,4";"51";"11";"3";"5";"0";"0";"0";"0";""
Trento;20/12/2004;"0,4";"-5,9";"9,4";"-7,7";"54";"10";"4";"9";"0";"0";"0";"0";""
Trento;21/12/2004;"-2,4";"-6,6";"4,8";"-10,6";"53";"10";"2";"5";"0";"0";"0";"0";""
Trento;22/12/2004;"-3,8";"-9,1";"3,3";"-10,6";"59";"10";"3";"5";"0";"0";"0";"0";""
Trento;23/12/2004;"-2,9";"-9";"5";"-9,5";"60";"10";"2";"4";"0";"0";"0";"0";""
Trento;24/12/2004;"-3";"-9";"3,4";"-7,4";"72";"10";"3";"9";"0";"0";"0";"0";""
Trento;25/12/2004;"-1,3";"-6,7";"4,1";"-2,7";"90";"3";"3";"9";"0";"0";"0";"1";"neve nebbia "
Trento;26/12/2004;"0,7";"-0,8";"1,2";"-0,3";"93";"1";"1";"4";"0";"0";"0";"23,9";"pioggia neve nebbia "
Trento;27/12/2004;"1,9";"-1,7";"5,5";"1";"94";"8";"2";"8";"0";"0";"0";"0,8";"pioggia nebbia "
Trento;28/12/2004;"2,6";"0,7";"5";"1,4";"92";"10";"2";"5";"0";"0";"0";"0";"pioggia "
Trento;29/12/2004;"4,9";"1";"8,3";"-5,4";"47";"16";"14";"28";"0";"1018";"989";"4,1";""
Trento;30/12/2004;"0,3";"-4,7";"9,1";"-7,4";"56";"10";"3";"8";"0";"0";"0";"0";""
Trento;31/12/2004;"-1,4";"-7";"6,8";"-6";"71";"10";"3";"8";"0";"0";"0";"0";""
