LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/6/2008;"21";"15";"28";"13";"61";"10";"5";"23";"0";"1016";"0";"0";""
Trento;2/6/2008;"21";"16";"26";"15";"70";"10";"3";"13";"0";"1014";"0";"0";"pioggia temporale "
Trento;3/6/2008;"21";"16";"27";"16";"64";"10";"3";"24";"0";"1011";"0";"0";"pioggia "
Trento;4/6/2008;"19";"16";"22";"16";"84";"10";"6";"21";"0";"1012";"0";"8,6";"pioggia "
Trento;5/6/2008;"18";"15";"20";"16";"91";"10";"2";"11";"0";"1010";"0";"6,1";"pioggia "
Trento;6/6/2008;"20";"16";"24";"15";"82";"10";"3";"19";"0";"1010";"0";"3,1";"pioggia temporale "
Trento;7/6/2008;"20";"16";"24";"15";"75";"10";"5";"16";"0";"1011";"0";"0,8";"pioggia temporale "
Trento;8/6/2008;"21";"16";"26";"14";"67";"10";"3";"23";"0";"1014";"0";"1,3";"pioggia temporale "
Trento;9/6/2008;"21";"16";"27";"14";"61";"10";"5";"23";"0";"1019";"0";"0,5";"pioggia "
Trento;10/6/2008;"22";"17";"27";"16";"64";"10";"5";"26";"35";"1019";"0";"0";"pioggia temporale "
Trento;11/6/2008;"23";"15";"32";"14";"74";"10";"2";"14";"0";"1016";"0";"0,5";"pioggia temporale "
Trento;12/6/2008;"19";"15";"23";"14";"71";"10";"6";"24";"0";"1010";"0";"0";""
Trento;13/6/2008;"19";"15";"24";"7";"51";"10";"10";"26";"39";"1009";"0";"0";"pioggia "
Trento;14/6/2008;"17";"13";"21";"7";"57";"10";"3";"23";"0";"1012";"0";"25,9";""
Trento;15/6/2008;"14";"10";"19";"8";"63";"10";"3";"19";"0";"1013";"0";"0";""
Trento;16/6/2008;"14";"13";"16";"12";"84";"10";"2";"8";"0";"1012";"0";"126";"pioggia "
Trento;17/6/2008;"17";"15";"19";"14";"86";"10";"2";"11";"0";"1012";"0";"6,9";"pioggia "
Trento;18/6/2008;"21";"15";"27";"14";"61";"10";"8";"34";"0";"1014";"0";"0";""
Trento;19/6/2008;"23";"17";"29";"15";"59";"10";"10";"29";"0";"1016";"0";"0";""
Trento;20/6/2008;"23";"17";"30";"16";"63";"10";"3";"21";"0";"1017";"0";"0";""
Trento;21/6/2008;"26";"20";"32";"17";"57";"10";"8";"29";"0";"1019";"0";"0";""
Trento;22/6/2008;"27";"22";"32";"18";"59";"10";"8";"27";"35";"1019";"0";"0";""
Trento;23/6/2008;"27";"21";"33";"18";"57";"10";"6";"34";"0";"1017";"0";"0";""
Trento;24/6/2008;"26";"19";"32";"18";"75";"10";"6";"47";"84";"1018";"0";"7,1";"pioggia temporale "
Trento;25/6/2008;"26";"19";"33";"19";"60";"0";"6";"27";"0";"1016";"0";"0";""
Trento;26/6/2008;"27";"20";"33";"18";"55";"10";"5";"23";"0";"1015";"0";"0";""
Trento;27/6/2008;"25";"20";"30";"18";"64";"10";"6";"13";"0";"1015";"0";"0";""
Trento;28/6/2008;"24";"17";"32";"16";"57";"10";"8";"24";"0";"1018";"0";"0";""
Trento;29/6/2008;"26";"21";"32";"18";"59";"10";"3";"21";"0";"1018";"0";"0";"pioggia temporale "
Trento;30/6/2008;"24";"19";"30";"18";"65";"10";"3";"16";"0";"1018";"0";"18";"pioggia "
