LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/5/2008;"12,7";"9,9";"17,7";"8,7";"77";"11";"6";"13";"0";"1014";"0";"5,6";"pioggia "
Trento;2/5/2008;"14,9";"4,8";"23,5";"6,2";"56";"13";"3";"5";"0";"1021";"0";"0";""
Trento;3/5/2008;"17,6";"6,4";"26,4";"5,8";"46";"11";"4";"11";"0";"1021";"0";"0";""
Trento;4/5/2008;"17,8";"9";"24,5";"8,2";"53";"11";"9";"21";"0";"1020";"0";"0";"pioggia "
Trento;5/5/2008;"18,7";"11";"22,7";"4";"38";"11";"15";"28";"44";"1020";"0";"4,1";""
Trento;6/5/2008;"17,3";"6";"26";"4,4";"42";"11";"9";"28";"35";"1020";"0";"0";""
Trento;7/5/2008;"18,2";"10";"25,2";"6,7";"47";"11";"9";"24";"0";"1019";"0";"0";""
Trento;8/5/2008;"19,8";"13,8";"26,2";"7,7";"46";"11";"7";"18";"0";"1017";"0";"0";""
Trento;9/5/2008;"19,3";"11,9";"26,5";"8,1";"48";"11";"10";"31";"35";"1016";"0";"0";""
Trento;10/5/2008;"19,1";"11";"26,7";"8,6";"51";"11";"10";"35";"42";"1016";"0";"0";""
Trento;11/5/2008;"16,4";"12,5";"23,3";"10,5";"68";"11";"7";"21";"0";"1019";"0";"6,1";"pioggia "
Trento;12/5/2008;"17,1";"8";"24,8";"7,5";"53";"11";"9";"24";"0";"1017";"0";"0";""
Trento;13/5/2008;"18,8";"9,5";"25,7";"7,1";"46";"11";"8";"21";"0";"1015";"0";"0,8";""
Trento;14/5/2008;"19,8";"11,3";"27,2";"7,8";"46";"11";"9";"22";"0";"1014";"0";"0";""
Trento;15/5/2008;"18,7";"9,1";"26,6";"8,5";"51";"11";"11";"29";"0";"1013";"0";"0";""
Trento;16/5/2008;"19,3";"14,9";"25,3";"11,3";"60";"11";"14";"29";"47";"1012";"0";"0";""
Trento;17/5/2008;"14,9";"13";"16,6";"14,3";"96";"8";"3";"8";"0";"1012";"0";"16";"pioggia "
Trento;18/5/2008;"14,9";"13,7";"17";"13,6";"92";"10";"3";"9";"0";"1006";"0";"11,2";"pioggia "
Trento;19/5/2008;"17,4";"12";"24,5";"12,3";"72";"11";"6";"21";"0";"1005";"0";"1,8";"pioggia temporale "
Trento;20/5/2008;"16,4";"13,6";"20,7";"13,3";"82";"11";"8";"18";"0";"1005";"0";"4,1";"pioggia "
Trento;21/5/2008;"17,6";"13";"23,2";"12,6";"72";"11";"5";"11";"0";"1010";"0";"1";"pioggia "
Trento;22/5/2008;"17,6";"13,8";"21,6";"13,1";"75";"11";"5";"11";"0";"1012";"0";"13";""
Trento;23/5/2008;"17,8";"11,9";"24,1";"11,7";"67";"11";"9";"28";"0";"1013";"0";"7,1";"pioggia "
Trento;24/5/2008;"18,4";"11,8";"23";"12,3";"68";"11";"7";"21";"0";"1014";"0";"0";""
Trento;25/5/2008;"20,1";"15,6";"24,2";"13,7";"67";"11";"10";"24";"0";"1016";"0";"0";""
Trento;26/5/2008;"20,3";"13,5";"27,3";"14,3";"68";"11";"4";"9";"0";"1018";"0";"0";""
Trento;27/5/2008;"23,9";"13,8";"32,3";"13,9";"54";"11";"8";"18";"0";"1015";"0";"0";""
Trento;28/5/2008;"25";"15,7";"31,1";"15";"54";"11";"9";"18";"0";"1014";"0";"0";""
Trento;29/5/2008;"25";"17,5";"31";"14,6";"52";"11";"10";"26";"47";"1012";"0";"0";"pioggia "
Trento;30/5/2008;"17,9";"15";"22,4";"16,1";"89";"9";"7";"18";"0";"1013";"0";"23,9";"pioggia temporale "
Trento;31/5/2008;"20,8";"14,7";"25,8";"13,5";"63";"11";"6";"15";"0";"1016";"0";"4,1";""
