LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/2/2009;"1";"0";"2";"0";"84";"5";"3";"7";"0";"1010";"0";"0,5";"neve "
Trento;2/2/2009;"1";"0";"2";"1";"96";"2";"2";"4";"0";"1010";"0";"6,1";"pioggia neve nebbia "
Trento;3/2/2009;"3";"1";"5";"1";"91";"7";"2";"5";"0";"1005";"0";"1";"pioggia "
Trento;4/2/2009;"4";"0";"10";"2";"83";"10";"2";"5";"0";"1001";"0";"0";""
Trento;5/2/2009;"5";"2";"8";"3";"91";"7";"3";"5";"0";"1046";"0";"1";"pioggia "
Trento;6/2/2009;"2";"2";"4";"2";"96";"6";"3";"5";"0";"1001";"0";"8,9";"pioggia nebbia "
Trento;7/2/2009;"3";"2";"5";"2";"93";"7";"3";"7";"0";"992";"0";"15";"pioggia "
Trento;8/2/2009;"5";"2";"11";"3";"79";"7";"4";"14";"25";"996";"0";"5,1";"pioggia nebbia "
Trento;9/2/2009;"4";"0";"9";"0";"58";"16";"3";"5";"0";"1010";"0";"0";""
Trento;10/2/2009;"1";"0";"3";"1";"87";"8";"3";"5";"0";"1006";"0";"0";"neve "
Trento;11/2/2009;"6";"-2";"9";"0";"35";"12";"11";"18";"30";"1007";"0";"0";""
Trento;12/2/2009;"4";"-2";"9";"0";"31";"15";"7";"15";"27";"1011";"0";"0";""
Trento;13/2/2009;"2";"-3";"6";"0";"29";"10";"9";"16";"0";"1015";"0";"0";""
Trento;14/2/2009;"3";"-4";"7";"0";"33";"10";"9";"17";"31";"1017";"0";"0";""
Trento;15/2/2009;"4";"-1";"8";"0";"25";"0";"7";"14";"0";"1023";"0";"0";""
Trento;16/2/2009;"1";"-5";"7";"0";"43";"10";"3";"5";"0";"1021";"0";"0";""
Trento;17/2/2009;"4";"-4";"9";"0";"56";"10";"5";"18";"0";"1012";"0";"0";""
Trento;18/2/2009;"4";"1";"8";"0";"17";"0";"9";"18";"30";"1017";"0";"0";""
Trento;19/2/2009;"3";"-5";"9";"0";"31";"0";"7";"13";"18";"1021";"0";"0";""
Trento;20/2/2009;"3";"-2";"9";"0";"40";"10";"3";"5";"0";"1025";"0";"0";""
Trento;21/2/2009;"7";"-2";"13";"0";"44";"10";"5";"13";"0";"1024";"0";"0";""
Trento;22/2/2009;"7";"-1";"13";"0";"48";"10";"7";"12";"0";"1018";"0";"0";""
Trento;23/2/2009;"4";"-2";"10";"0";"68";"10";"5";"8";"0";"1013";"0";"0";""
Trento;24/2/2009;"6";"-3";"13";"0";"44";"10";"6";"17";"0";"1017";"0";"0";""
Trento;25/2/2009;"5";"-1";"11";"0";"42";"0";"4";"7";"0";"1027";"0";"0";""
Trento;26/2/2009;"6";"-2";"12";"0";"46";"0";"3";"6";"0";"1020";"0";"0";""
Trento;27/2/2009;"10";"-1";"18";"0";"43";"10";"6";"14";"0";"1015";"0";"0";""
Trento;28/2/2009;"10";"1";"18";"1";"51";"5";"4";"10";"0";"1017";"0";"0";""
