LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/10/2009;"21";"17";"25";"15";"68";"9";"5";"9";"0";"1012";"0";"0";""
Trento;2/10/2009;"19";"12";"31";"11";"62";"12";"3";"9";"0";"1012";"0";"0";""
Trento;3/10/2009;"17";"10";"23";"9";"60";"18";"5";"13";"0";"1016";"0";"0";""
Trento;4/10/2009;"18";"11";"24";"11";"64";"14";"6";"14";"0";"1015";"0";"0";""
Trento;5/10/2009;"19";"15";"22";"13";"66";"9";"4";"9";"0";"1020";"0";"0";""
Trento;6/10/2009;"19";"12";"24";"13";"71";"9";"3";"9";"0";"1022";"0";"0";""
Trento;7/10/2009;"20";"14";"25";"14";"68";"12";"5";"15";"0";"1020";"0";"0";""
Trento;8/10/2009;"20";"17";"24";"15";"74";"9";"3";"7";"0";"1017";"0";"0";""
Trento;9/10/2009;"18";"14";"23";"15";"83";"8";"4";"9";"0";"1017";"0";"0";"pioggia "
Trento;10/10/2009;"18";"15";"22";"15";"84";"8";"4";"6";"0";"1014";"0";"0";"pioggia "
Trento;11/10/2009;"16";"9";"22";"11";"76";"16";"3";"6";"0";"1014";"0";"0";""
Trento;12/10/2009;"14";"10";"19";"7";"51";"15";"10";"22";"29";"1008";"0";"0";"pioggia "
Trento;13/10/2009;"15";"11";"17";"0";"19";"13";"12";"17";"30";"1016";"0";"0";""
Trento;14/10/2009;"11";"7";"13";"11";"23";"14";"10";"16";"31";"1020";"0";"0";""
Trento;15/10/2009;"9";"1";"14";"0";"29";"13";"8";"18";"37";"1019";"0";"0";""
Trento;16/10/2009;"8";"0";"15";"2";"49";"16";"4";"8";"0";"1017";"0";"0";""
Trento;17/10/2009;"8";"2";"13";"1";"52";"13";"3";"7";"0";"1015";"0";"0";""
Trento;18/10/2009;"8";"-1";"15";"0";"46";"13";"6";"15";"29";"1017";"0";"0";""
Trento;19/10/2009;"7";"0";"14";"1";"50";"23";"5";"9";"0";"1017";"0";"0";""
Trento;20/10/2009;"8";"3";"13";"2";"54";"11";"4";"10";"0";"1016";"0";"0";""
Trento;21/10/2009;"8";"3";"12";"3";"70";"9";"3";"6";"0";"1017";"0";"0";"pioggia "
Trento;22/10/2009;"8";"7";"12";"7";"93";"4";"2";"5";"0";"1009";"0";"0";"pioggia "
Trento;23/10/2009;"12";"8";"15";"8";"80";"11";"3";"5";"0";"1009";"0";"0";""
Trento;24/10/2009;"13";"8";"20";"6";"66";"14";"3";"5";"0";"1014";"0";"0";""
Trento;25/10/2009;"12";"5";"19";"6";"70";"16";"2";"4";"0";"1018";"0";"0";""
Trento;26/10/2009;"10";"4";"17";"6";"76";"14";"2";"5";"0";"1019";"0";"0";""
Trento;27/10/2009;"10";"2";"18";"5";"72";"20";"2";"4";"0";"1022";"0";"0";""
Trento;28/10/2009;"10";"3";"17";"5";"72";"23";"3";"6";"0";"1022";"0";"0";""
Trento;29/10/2009;"10";"4";"19";"5";"73";"20";"3";"6";"0";"1018";"0";"0";""
Trento;30/10/2009;"10";"1";"17";"5";"68";"15";"4";"7";"0";"1024";"0";"0";""
Trento;31/10/2009;"10";"5";"15";"5";"70";"11";"4";"8";"0";"1026";"0";"0";""
