LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/4/2022;"8";"7";"9";"6";"88";"15";"5";"9";"0";"993";"0";"0";"pioggia "
Trento;2/4/2022;"6";"4";"8";"4";"89";"17";"9";"13";"0";"1000";"0";"0";"pioggia "
Trento;3/4/2022;"9";"2";"14";"1";"46";"19";"6";"11";"0";"1014";"0";"0";""
Trento;4/4/2022;"9";"4";"13";"1";"55";"19";"8";"15";"0";"1016";"0";"0";""
Trento;5/4/2022;"11";"1";"18";"2";"55";"20";"7";"13";"0";"1011";"0";"0";""
Trento;6/4/2022;"13";"3";"20";"4";"58";"20";"11";"18";"0";"1007";"0";"0";""
Trento;7/4/2022;"16";"10";"23";"4";"48";"18";"10";"22";"0";"1001";"0";"0";""
Trento;8/4/2022;"16";"6";"23";"6";"55";"19";"12";"24";"0";"1000";"0";"0";"pioggia "
Trento;9/4/2022;"12";"10";"14";"8";"36";"19";"20";"30";"0";"1005";"0";"0";""
Trento;10/4/2022;"12";"2";"17";"0";"30";"19";"8";"21";"0";"1017";"0";"0";""
Trento;11/4/2022;"13";"2";"20";"1";"38";"20";"8";"17";"0";"1020";"0";"0";""
Trento;12/4/2022;"15";"4";"22";"2";"43";"21";"9";"18";"0";"1018";"0";"0";""
Trento;13/4/2022;"17";"6";"23";"5";"49";"20";"8";"18";"0";"1018";"0";"0";""
Trento;14/4/2022;"20";"7";"27";"5";"44";"17";"7";"15";"0";"1018";"0";"0";""
Trento;15/4/2022;"21";"8";"28";"5";"40";"20";"7";"18";"0";"1018";"0";"0";""
Trento;16/4/2022;"19";"11";"24";"3";"26";"21";"15";"28";"0";"1019";"0";"0";""
Trento;17/4/2022;"16";"5";"23";"1";"25";"21";"10";"28";"0";"1017";"0";"0";""
Trento;18/4/2022;"15";"3";"21";"2";"39";"22";"10";"21";"0";"1012";"0";"0";""
Trento;19/4/2022;"15";"4";"22";"2";"42";"18";"9";"18";"0";"1007";"0";"0";""
Trento;20/4/2022;"14";"6";"18";"4";"50";"20";"13";"22";"0";"1011";"0";"0";""
Trento;21/4/2022;"14";"10";"17";"4";"51";"20";"7";"11";"0";"1008";"0";"0";""
Trento;22/4/2022;"14";"9";"17";"6";"61";"19";"6";"11";"0";"1001";"0";"0";"pioggia "
Trento;23/4/2022;"15";"12";"20";"9";"67";"17";"8";"17";"0";"1005";"0";"0";"pioggia "
Trento;24/4/2022;"13";"9";"16";"6";"64";"21";"10";"15";"0";"1004";"0";"0";""
Trento;25/4/2022;"15";"7";"21";"8";"68";"20";"9";"21";"0";"1009";"0";"0";"pioggia "
Trento;26/4/2022;"13";"9";"19";"10";"82";"18";"7";"28";"0";"1014";"0";"0";"pioggia "
Trento;27/4/2022;"16";"4";"23";"4";"46";"21";"6";"17";"0";"1019";"0";"0";""
Trento;28/4/2022;"18";"6";"25";"4";"43";"19";"8";"15";"0";"1022";"0";"0";""
Trento;29/4/2022;"19";"10";"25";"4";"39";"19";"10";"21";"0";"1022";"0";"0";""
Trento;30/4/2022;"15";"11";"19";"8";"63";"19";"8";"24";"0";"1019";"0";"0";"pioggia "
