LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/9/2024;"26";"19";"31";"17";"60";"20";"0";"0";"0";"1016";"0";"0";""
Trento;2/9/2024;"25";"17";"32";"15";"57";"21";"0";"0";"0";"1014";"0";"0";""
Trento;3/9/2024;"25";"16";"32";"15";"56";"21";"0";"0";"0";"1016";"0";"0";""
Trento;4/9/2024;"23";"17";"27";"16";"69";"22";"0";"0";"0";"1015";"0";"0";""
Trento;5/9/2024;"20";"18";"22";"18";"87";"14";"0";"0";"0";"1011";"0";"0";"pioggia "
Trento;6/9/2024;"23";"18";"27";"16";"69";"19";"0";"0";"0";"1013";"0";"0";"pioggia "
Trento;7/9/2024;"25";"19";"29";"16";"59";"18";"0";"0";"0";"1016";"0";"0";""
Trento;8/9/2024;"20";"17";"22";"18";"88";"12";"0";"0";"0";"1012";"0";"0";"pioggia "
Trento;9/9/2024;"21";"17";"27";"13";"66";"15";"0";"0";"0";"1005";"0";"0";"pioggia temporale "
Trento;10/9/2024;"21";"13";"28";"11";"57";"21";"0";"0";"0";"1010";"0";"0";""
Trento;11/9/2024;"21";"16";"26";"14";"63";"21";"0";"0";"0";"1007";"0";"0";""
Trento;12/9/2024;"13";"12";"15";"7";"68";"15";"8";"28";"0";"1009";"0";"0";"pioggia "
Trento;13/9/2024;"17";"15";"19";"0";"28";"21";"10";"31";"0";"1010";"0";"0";""
Trento;14/9/2024;"17";"16";"19";"1";"29";"22";"10";"33";"0";"1017";"0";"0";""
Trento;15/9/2024;"18";"14";"22";"2";"30";"21";"4";"26";"0";"1016";"0";"0";""
Trento;16/9/2024;"17";"10";"20";"4";"42";"21";"0";"0";"0";"1014";"0";"0";""
Trento;17/9/2024;"17";"11";"22";"8";"57";"18";"0";"0";"0";"1016";"0";"0";""
Trento;18/9/2024;"16";"7";"22";"8";"61";"22";"0";"0";"0";"1019";"0";"0";""
Trento;19/9/2024;"17";"11";"22";"11";"72";"17";"1";"9";"0";"1018";"0";"0";"pioggia "
Trento;20/9/2024;"17";"11";"20";"12";"77";"20";"0";"0";"0";"1022";"0";"0";""
Trento;21/9/2024;"19";"12";"24";"12";"69";"20";"0";"0";"0";"1021";"0";"0";""
Trento;22/9/2024;"18";"11";"23";"13";"72";"18";"0";"0";"0";"1018";"0";"0";""
Trento;23/9/2024;"17";"11";"21";"14";"81";"15";"0";"0";"0";"1013";"0";"0";"pioggia "
Trento;24/9/2024;"18";"14";"22";"13";"76";"22";"0";"0";"0";"1010";"0";"0";""
Trento;25/9/2024;"18";"14";"23";"13";"72";"20";"0";"0";"0";"1013";"0";"0";""
Trento;26/9/2024;"17";"16";"20";"15";"87";"11";"0";"0";"0";"1009";"0";"0";"pioggia "
Trento;27/9/2024;"20";"16";"26";"15";"74";"17";"0";"0";"0";"1005";"0";"0";"pioggia "
Trento;28/9/2024;"18";"12";"22";"7";"50";"22";"2";"30";"0";"1014";"0";"0";"pioggia temporale "
Trento;29/9/2024;"15";"6";"21";"6";"57";"22";"0";"0";"0";"1023";"0";"0";""
Trento;30/9/2024;"15";"11";"18";"10";"74";"22";"0";"0";"0";"1020";"0";"0";""
