LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/3/2025;"9";"3";"14";"3";"67";"19";"0";"0";"0";"1024";"0";"0";""
Trento;2/3/2025;"8";"0";"15";"0";"51";"21";"0";"0";"0";"1028";"0";"0";""
Trento;3/3/2025;"9";"-1";"16";"0";"49";"18";"0";"0";"0";"1027";"0";"0";""
Trento;4/3/2025;"10";"0";"17";"0";"51";"21";"0";"0";"0";"1025";"0";"0";""
Trento;5/3/2025;"11";"2";"19";"1";"48";"19";"0";"0";"0";"1027";"0";"0";""
Trento;6/3/2025;"11";"0";"19";"1";"51";"20";"0";"0";"0";"1026";"0";"0";""
Trento;7/3/2025;"11";"2";"18";"1";"47";"18";"0";"0";"0";"1020";"0";"0";""
Trento;8/3/2025;"11";"1";"19";"1";"47";"20";"0";"0";"0";"1016";"0";"0";""
Trento;9/3/2025;"13";"2";"19";"1";"45";"19";"0";"0";"0";"1010";"0";"0";""
Trento;10/3/2025;"9";"5";"12";"7";"92";"13";"0";"0";"0";"1007";"0";"0";"pioggia "
Trento;11/3/2025;"11";"6";"15";"7";"77";"19";"0";"0";"0";"1004";"0";"0";"pioggia "
Trento;12/3/2025;"11";"8";"13";"9";"90";"13";"0";"0";"0";"998";"0";"0";"pioggia "
Trento;13/3/2025;"11";"8";"15";"6";"75";"17";"1";"24";"0";"996";"0";"0";"pioggia "
Trento;14/3/2025;"10";"8";"13";"8";"86";"14";"0";"0";"0";"1001";"0";"0";"pioggia "
Trento;15/3/2025;"10";"9";"12";"9";"93";"10";"0";"0";"0";"1007";"0";"0";"pioggia "
Trento;16/3/2025;"12";"9";"14";"7";"73";"15";"0";"0";"0";"1011";"0";"0";"pioggia "
Trento;17/3/2025;"12";"4";"17";"4";"41";"21";"0";"0";"0";"1016";"0";"0";""
Trento;18/3/2025;"9";"1";"14";"0";"47";"19";"0";"0";"0";"1027";"0";"0";""
Trento;19/3/2025;"10";"0";"16";"1";"54";"22";"0";"0";"0";"1029";"0";"0";""
Trento;20/3/2025;"11";"1";"18";"2";"52";"19";"0";"0";"0";"1028";"0";"0";""
Trento;21/3/2025;"11";"3";"15";"3";"60";"10";"0";"0";"0";"1023";"0";"0";""
Trento;22/3/2025;"11";"8";"13";"8";"83";"11";"0";"0";"0";"1013";"0";"0";"pioggia "
Trento;23/3/2025;"13";"9";"16";"8";"71";"20";"0";"0";"0";"1009";"0";"0";"pioggia "
Trento;24/3/2025;"14";"8";"18";"7";"65";"24";"0";"0";"0";"1012";"0";"0";""
Trento;25/3/2025;"14";"7";"19";"6";"60";"22";"0";"0";"0";"1016";"0";"0";""
Trento;26/3/2025;"15";"6";"22";"5";"48";"21";"0";"0";"0";"1014";"0";"0";""
Trento;27/3/2025;"16";"6";"21";"2";"38";"19";"0";"0";"0";"1010";"0";"0";""
Trento;28/3/2025;"14";"7";"17";"3";"47";"22";"0";"0";"0";"1006";"0";"0";"pioggia "
Trento;29/3/2025;"17";"13";"18";"4";"34";"18";"6";"31";"0";"1006";"0";"0";""
Trento;30/3/2025;"19";"13";"22";"1";"26";"21";"0";"0";"0";"1010";"0";"0";""
Trento;31/3/2025;"14";"9";"17";"1";"31";"21";"3";"22";"0";"1015";"0";"0";""
