Location,Date,MeanTemp,MinTemperature,MaxTemperature,MeanHumidity,WindSpeed,WindGusts,Rainfall,Phenomena
Trento,1/1/2000,-4.6,-10.1,1.7,72,0,0,0,
Trento,2/1/2000,-4.2,-11.2,2.4,74,2,0,0,
Trento,3/1/2000,-1.6,-8.5,5.6,69,1,0,0,
Trento,4/1/2000,-1.9,-8,4.8,67,0,0,0,
Trento,5/1/2000,-0.3,-7.8,5,66,0,0,0,
Trento,6/1/2000,-0.7,-8,6,74,0,0,0,
Trento,7/1/2000,-1.3,-7.3,5,71,0,0,0,
Trento,8/1/2000,-1.2,-7.9,5,68,0,0,0,
Trento,9/1/2000,-1.2,-4,2.7,71,0,0,0,
Trento,10/1/2000,-0.6,-6.9,5,73,0,0,0,
Trento,11/1/2000,-0.3,-5,5.8,71,0,0,0,
Trento,12/1/2000,-2.4,-8.2,3,72,1,0,0,
Trento,13/1/2000,-2.6,-7,1.1,67,2,0,0,
Trento,14/1/2000,-3.6,-9,-0.8,69,0,0,0,
Trento,15/1/2000,-1,-6.7,5.5,64,0,0,0,
Trento,16/1/2000,-2,-8,5.5,71,2,0,0,
Trento,17/1/2000,-1.2,-9.3,4,63,7,0,0,
Trento,18/1/2000,10.7,-5.3,17.3,43,28,78,0,
Trento,19/1/2000,6.4,4,8.1,0,28,47,0,
Trento,20/1/2000,0.7,-4,5.7,44,2,0,0,
Trento,21/1/2000,4.7,-8,12.1,43,11,37,0,
Trento,22/1/2000,3.8,-1.7,7.8,57,10,0,0,rain
Trento,23/1/2000,3.8,-2.7,9.3,46,15,0,0,
Trento,24/1/2000,1.3,-4.1,5.1,42,14,0,0,
Trento,25/1/2000,-3.4,-7.3,1,48,4,0,0,
Trento,26/1/2000,-4.3,-10.5,1.4,54,2,0,0,
Trento,27/1/2000,-2.8,-10.1,5,56,1,0,0,
Trento,28/1/2000,-2.9,-10,5.1,64,1,0,0,
Trento,29/1/2000,-3.2,-10.6,1.6,66,1,0,0,
Trento,30/1/2000,0.2,-6.8,4,86,5,0,0,
Trento,31/1/2000,3.6,-3.7,12.4,75,2,0,0,
Trento,1/6/2000,19.9,9.9,26.3,52,14,0,0,
Trento,2/6/2000,21.6,12.6,28.1,63,12,0,0,
Trento,3/6/2000,24.2,15.3,30.5,59,12,0,0,
Trento,4/6/2000,21.2,14.6,27.6,71,3,0,0.8,thunderstorm
Trento,5/6/2000,22.5,13,29,63,13,39,0,
Trento,6/6/2000,20.9,15.9,25,76,4,0,0,thunderstorm
Trento,7/6/2000,21.7,12.6,28.4,53,9,0,3.1,
Trento,8/6/2000,20.3,16.4,25.5,64,2,0,0,
Trento,9/6/2000,22.8,14.7,29.3,61,11,0,0,
Trento,10/6/2000,23.4,16.3,30.7,63,6,0,0,thunderstorm
Trento,11/6/2000,18.2,17,20,92,4,0,9.9,thunderstorm
Trento,12/6/2000,22.3,15.1,27,70,6,0,3.1,thunderstorm
Trento,13/6/2000,20.3,15.9,25,82,3,0,0,thunderstorm
Trento,14/6/2000,21.3,14.3,27,67,4,0,0,
Trento,15/6/2000,23.7,15.4,29.4,51,7,42,0,
